ORIG_FID,lon,lat
0,399.94282137382,1052.21846390060
1,400.85411939582,1046.29587154381
2,401.74135335882,1037.07564492900
3,402.62858732082,1027.85541831430
4,405.05058674282,1020.50575469110
5,444.22514033182,1025.78094295000
6,439.97514033182,1027.03094295000
7,442.97514033182,1028.03094295000
8,432.47514033182,1049.28094295000
9,436.47514033182,1040.78094295000
10,440.47514033182,1032.28094295000
11,425.98606267382,1052.39525670861
12,428.57667756882,1047.05479921435
13,431.73606267382,1038.64525670860
14,434.89544777882,1030.23571420290
15,522.97514033182,1032.28094295000
16,524.47514033182,1032.03094295000
17,522.97514033182,1034.78094295000
18,523.97514033182,1037.53094295000
19,521.47514033182,1037.53094295000
20,517.71476797482,1051.78064568652
21,520.95958179682,1047.03049705478
22,523.96995415382,1041.03079431830
23,512.23070820382,1052.27721103396
24,515.23349214082,1047.77534507594
25,518.72792426782,1041.27907699200
26,519.44676139282,1031.99530013790
27,516.49030651982,1029.35298301710
28,517.02800981582,1023.81162734450
29,517.95956827682,1017.94226461700
30,518.51715042082,1010.09442867950
31,522.03762153982,1030.37352598900
32,521.78030774282,1024.85191468160
33,522.14071773382,1017.12352598900
34,522.50112772482,1009.39513729630
35,526.97514033182,1032.03094295000
36,529.97514033182,1032.03094295000
37,527.97514033182,1034.78094295000
38,526.47514033182,1037.53094295000
39,705.57880600082,1029.44971852190
40,713.53733973282,1029.28220829310
41,721.49587346582,1029.11469806440
42,701.81225460682,1032.12368562510
43,702.63751264282,1039.41815894800
44,703.86259776882,1048.82668161601
45,705.93333178782,1034.60007183670
46,713.75005520582,1034.37242028200
47,721.56677862282,1034.14476872730
48,698.85928562582,1029.47011320190
49,696.55273053782,1031.85024050030
50,697.60860680182,1039.10303191230
51,698.85296248882,1048.72163927076
52,699.50569951882,1034.50381292350
53,728.22514033182,1029.03094295000
54,730.97514033182,1031.28094295000
55,725.47514033182,1031.53094295000
56,728.22514033182,1033.78094295000
57,731.39180699882,1050.19760961667
58,731.22514033182,1043.53094295000
59,731.05847366482,1036.86427628330
60,725.98920885882,1049.60794438667
61,725.49624312282,1042.77144510500
62,725.48217459582,1036.94444366830
63,872.44880334782,1051.59191738779
64,868.39612937982,1047.71386626337
65,864.91724741482,1043.45603826785
66,862.01215745082,1038.81843340120
67,859.21220044582,1031.92151629830
68,856.51737640082,1022.76528695900
69,853.82255235482,1013.60905761970
70,864.69023550582,1051.14968188774
71,860.15514549482,1045.00337097162
72,855.65477512382,1037.47327126390
73,852.36690998282,1030.76026111940
74,850.29155007282,1024.86434053810
75,848.80918767082,1019.32002092310
76,847.91982277782,1014.12730227440
77,1063.62522750182,1052.36568562899
78,1061.49653046182,1048.78673402246
79,1058.93896203182,1043.95934545142
80,1056.09849866182,1038.37408176060
81,1052.97514033182,1032.03094295000
