ORIG_FID,经度,纬度,value
315,459.9751403,885.030943,4
316,456.3079607,903.7340814,4
317,457.0476216,897.8729512,4
318,457.4462962,889.9866645,4
319,456.1959988,908.6745834,4
320,457.5123378,882.372394,3
321,460.2623378,879.622394,3
322,457.9852933,876.2740124,4
323,458.6160255,868.0631644,4
324,459.0059739,858.5211339,4
325,459.3959222,848.9791034,4
326,462.050858,903.2117312,4
327,462.2205709,895.9394159,4
328,462.3902839,888.6671006,4
329,458.9520659,906.7562677,4
330,522.3057021,877.6539977,4
331,522.9668257,868.9001072,4
332,523.6279493,860.1462167,4
333,523.8376684,853.0846894,4
334,523.595983,847.7155251,4
335,524.4751403,882.030943,2
336,521.7251403,885.030943,1
337,523.9751403,888.030943,4
338,520.5291564,911.7563406,4
339,520.9338604,906.2301522,4
340,521.1503724,898.9504685,3
341,521.3668843,891.6707848,1
342,523.1302252,913.7504954,4
343,523.5750082,909.8265602,4
344,527.2251403,881.780943,2
345,575.2251403,883.780943,4
346,526.7251403,885.030943,2
347,526.7251403,888.280943,4
348,572.7251403,886.780943,4
349,572.7251403,890.280943,4
350,574.9751403,890.530943,4
351,526.176077,911.820715,4
352,526.4328667,906.2410959,3
353,526.6497762,899.1570347,3
354,526.8666856,892.0729735,4
355,572.1471626,907.9092238,4
356,572.4783537,900.9579115,4
357,572.8095448,894.0065991,4
358,573.7420326,911.3688062,4
359,603.7251403,885.280943,3
360,606.2251403,885.280943,2
361,605.7251403,888.280943,1
362,600.7251403,888.030943,4
363,602.2251403,891.530943,4
364,604.9751403,891.530943,3
365,600.3041499,909.404723,1
366,601.9621691,904.1522832,1
367,603.6331595,896.7785031,1
368,597.4751403,884.8642763,3
369,589.4751403,884.530943,3
370,581.4751403,884.1976096,4
371,577.2251403,887.280943,4
372,596.141807,890.9476096,4
373,588.4751403,890.780943,4
374,580.8084737,890.6142763,4
375,595.8084737,908.530943,4
376,597.4751403,901.530943,4
377,599.141807,894.530943,4
378,596.4751403,912.530943,4
379,598.7251403,912.530943,4
380,594.2251403,912.530943,4
381,597.4751403,915.030943,1
382,592.9751403,915.030943,4
383,593.9751403,917.530943,4
384,596.2251403,917.530943,3
385,591.4751403,917.530943,4
386,579.202985,911.535606,4
387,586.6039587,911.9013533,4
388,591.8897929,912.5575849,4
389,575.9636736,909.1164485,4
390,576.5624218,902.7928593,4
391,576.8375675,894.6182484,4
392,651.8543062,887.3569249,3
393,722.7251403,892.780943,4
394,722.7251403,895.280943,4
395,722.9839239,913.4368426,4
396,722.9804105,906.2744827,4
397,722.976897,899.1121229,4
398,722.851548,919.270608,4
399,725.5185359,921.1492995,4
400,725.7471349,916.7327589,4
401,725.6646915,895.5489284,4
402,725.5357934,890.4679163,2
403,698.2251403,889.780943,3
404,702.5584737,890.1142763,2
405,710.7251403,890.280943,2
406,718.891807,890.4476096,2
407,693.7251403,889.780943,4
408,695.9751403,889.780943,3
409,697.9751403,892.030943,4
410,693.7251403,892.030943,4
411,695.4751403,894.030943,3
412,697.7251403,894.280943,4
413,702.0584737,894.6142763,4
414,710.2251403,894.780943,3
415,718.391807,894.9476096,4
416,693.8165855,912.278844,4
417,693.6800074,904.9796836,4
418,693.5434294,897.6805232,4
419,693.9300074,918.3317607,4
420,696.1869036,915.9071832,4
421,698.4033007,912.3267757,4
422,698.2320365,905.2084426,4
423,698.0607724,898.0901095,4
424,702.5717241,916.0746223,4
425,710.7373067,916.4519824,4
426,718.9028893,916.8293425,4
427,698.4415384,918.4556998,4
428,702.4480226,921.1084133,4
429,710.5557797,921.2743254,4
430,718.6635369,921.4402374,4
431,696.1846422,920.8802773,4
432,728.4141228,918.6114505,4
433,728.379967,899.0470107,4
434,728.4314159,906.0072046,3
435,728.4828647,912.9673984,3
436,728.2253445,892.9859018,4
437,805.2251403,885.780943,3
438,802.4751403,887.530943,4
439,809.2251403,886.780943,4
440,810.4751403,889.530943,4
441,803.7251403,890.280943,4
442,807.7251403,891.280943,4
443,815.8084737,914.6142763,2
444,811.4751403,905.780943,3
445,807.141807,896.9476096,4
446,812.3551661,893.4627581,4
447,816.1152176,900.3263883,3
448,819.8752691,907.1900186,2
449,822.6852562,912.974111,2
450,824.545179,917.6786656,2
451,818.9751403,920.030943,4
452,822.7251403,920.530943,4
453,820.2251403,922.530943,2
454,821.4751403,925.030943,4
455,825.4751403,926.030943,4
456,826.7251403,921.030943,4
457,828.2251403,924.030943,2
458,885.2579406,921.6332492,4
459,887.0658671,914.5801991,2
460,891.6361052,908.6481583,2
461,897.7233233,903.0697807,4
462,901.9763281,899.5297372,4
463,906.0804641,896.1548737,4
464,911.8699447,890.9068562,4
465,915.9753111,887.5309914,4
466,919.9751403,884.030943,4
467,923.9749411,880.5308163,4
468,926.9682775,878.0362562,4
469,929.8630783,875.9122866,4
470,932.4751403,877.030943,4
471,934.7251403,877.280943,4
472,946.6492234,893.1960721,4
473,943.550577,889.617806,4
474,940.5505852,886.1178032,4
475,937.6227725,882.7062099,4
476,935.4486812,880.0410834,4
477,103.2251403,827.780943,4
478,103.7251403,830.280943,4
479,100.9751403,830.530943,4
480,98.20617739,828.314764,4
481,162.1062037,830.0295432,4
482,238.6580162,828.5544757,3
483,242.0317591,823.9522582,4
484,245.6428083,819.3018223,4
485,251.4471111,817.2356,4
486,259.2153523,817.1525264,4
487,266.9835935,817.0694528,4
488,273.1714272,816.5294295,4
489,303.9751403,831.030943,4
490,302.4751403,833.030943,4
491,300.9751403,835.030943,4
492,304.5275085,837.7408821,4
493,308.8328144,838.2366497,4
494,307.2804461,833.5267105,3
495,312.5681761,831.7154773,4
496,306.6548266,827.7439832,4
497,310.2922268,819.7341989,4
498,313.2076544,810.2885497,4
499,316.5635531,802.5011549,4
500,320.359923,796.3720143,4
501,324.1562929,790.2428738,4
502,327.8992612,782.8131781,4
503,331.5888279,774.0829272,4
504,300.3530403,828.8714535,4
505,294.1088403,824.5524745,4
506,287.8646402,820.2334955,4
507,282.6088403,816.0524745,3
508,297.3150055,832.9279306,4
509,290.9947359,828.7219059,4
510,284.6744663,824.5158812,4
511,279.4947359,819.7219059,4
512,276.5242601,854.0704429,3
513,277.5154695,855.9959074,4
514,282.5357791,856.9576981,4
515,288.5260529,857.2020698,4
516,291.1204577,853.7980318,4
517,293.4851599,847.6528646,4
518,296.1194183,842.1929465,4
519,299.023233,837.4182775,4
520,359.8371469,828.1824045,4
521,364.5513472,822.3410876,4
522,371.2557347,816.3555307,4
523,375.0299866,809.7291251,3
524,375.8741028,802.4618708,3
525,376.718219,795.1946164,3
526,378.0577087,787.5459661,3
527,357.4751403,831.530943,4
528,360.4751403,832.030943,4
529,363.892582,830.9519914,4
530,367.9870251,826.3938732,4
531,373.3410279,821.4355401,4
532,377.3263733,817.1709134,4
533,379.4414544,810.7430348,4
534,381.0549288,801.4581981,4
535,382.6684031,792.1733613,4
536,353.8466162,831.3127602,4
537,346.7583769,830.337031,4
538,337.8389468,829.8219383,4
539,328.9195166,829.3068456,4
540,323.2164274,828.4942156,4
541,319.0234105,825.7095555,4
542,356.0507581,840.5716046,4
543,354.9261734,848.7972103,4
544,356.5440954,834.2448724,4
545,361.8591993,835.1497502,4
546,358.9281544,836.8636796,4
547,353.2251403,873.780943,4
548,356.2251403,874.280943,2
549,346.8917872,872.0431043,2
550,350.9556876,873.3140465,2
551,349.2066952,869.7787995,2
552,353.2705956,871.0497417,4
553,354.1644235,856.8246449,4
554,353.7655084,864.6539086,4
555,359.5507659,860.6994435,4
556,359.1670155,869.9204431,4
557,360.1177954,851.3838471,4
558,360.868104,841.973654,4
559,357.0532611,854.4994784,1
560,408.6432393,839.9951839,4
561,410.8760939,841.9989858,4
562,411.3709044,837.8013062,4
563,413.603759,839.8051081,4
564,417.3154885,842.1070359,4
565,425.0010592,842.661912,4
566,432.6866299,843.2167881,4
567,440.3729954,843.6132031,4
568,448.0601558,843.8511571,4
569,455.7473162,844.0891111,4
570,404.7387876,872.7455291,4
571,405.266082,864.1747015,4
572,405.7933765,855.6038739,4
573,407.1682542,846.7434169,4
574,406.9751403,877.030943,3
575,459.6740702,842.2634666,4
576,461.8054503,844.3696113,4
577,464.1701503,842.2806717,4
578,462.0387701,840.174527,4
579,521.3548804,836.8791476,4
580,521.1143607,830.5755568,4
581,521.3643607,822.7005568,4
582,522.1048804,813.2541476,3
583,524.9751403,840.030943,4
584,521.7251403,842.030943,4
585,522.7251403,844.530943,4
586,525.7251403,844.780943,4
587,528.4751403,842.030943,4
588,528.2251403,844.280943,4
589,574.0078577,843.3463182,4
590,576.7067618,841.0957624,4
591,576.7951351,845.5305702,4
592,615.4751403,843.030943,2
593,615.2251403,845.530943,2
594,612.9005246,846.1365136,4
595,611.0671733,843.6250932,3
596,613.3917891,841.0195225,4
597,579.4940392,843.2800143,3
598,650.751991,843.7883581,4
599,651.6318221,836.1991894,4
600,651.7323436,826.4481337,4
601,652.2275414,816.8366732,4
602,653.67454,841.1594737,4
603,655.7210073,836.3171843,4
604,656.0226605,826.6026877,4
605,656.3243137,816.8881912,4
606,656.5325554,843.8582858,4
607,653.6100063,846.4871701,4
608,693.4730234,838.0559808,4
609,693.4687895,831.1060566,4
610,693.4645556,824.1561323,4
611,692.9265593,817.220724,4
612,693.4751403,844.030943,4
613,695.7090729,846.5148928,4
614,702.4566691,846.588348,4
615,711.4839962,846.7673589,4
616,720.5113234,846.9463697,4
617,697.9590729,844.0148928,4
618,695.7251403,841.530943,4
619,702.515181,841.5343016,4
620,711.5952624,841.5410188,4
621,720.6753439,841.547736,4
622,697.9307323,836.8458321,4
623,697.8419163,827.4756105,4
624,697.7531003,818.1053889,4
625,725.1201858,844.2934849,4
626,725.3752297,837.0638289,4
627,725.6949198,828.0892974,4
628,726.01461,819.1147659,4
629,727.8646266,847.0325884,4
630,730.8370539,844.2801237,4
631,728.092613,841.5410202,4
632,731.0815395,837.0415002,4
633,731.3049356,828.0626091,4
634,731.5283317,819.083718,4
635,778.9751403,841.530943,4
636,779.9751403,844.030943,2
637,781.4751403,846.530943,4
638,776.6747361,836.8760446,2
639,773.0739277,828.5662479,2
640,770.1325001,820.2368627,2
641,783.95567,841.1095736,4
642,780.491726,841.5732906,4
643,784.6024149,837.3120892,4
644,781.0011883,829.7292499,4
645,777.8378576,821.2343866,4
646,787.5764784,843.5280309,4
647,785.6125345,846.491748,4
648,792.9776712,845.3235059,4
649,801.4331564,844.0654116,4
650,807.924158,842.5855992,4
651,812.6987118,839.4101265,4
652,817.7213014,834.7607119,4
653,822.743891,830.1112972,4
654,828.3651248,824.658476,4
655,834.5850026,818.4022484,4
656,840.8192144,812.6491614,4
657,847.0677601,807.3992153,4
658,853.5128098,801.5884174,4
659,860.1543635,795.2167678,4
660,903.9751403,834.530943,4
661,903.9751403,838.030943,4
662,904.4751403,841.030943,4
663,907.4751403,842.530943,4
664,909.9751403,845.530943,4
665,905.8205221,845.3640127,4
666,903.8205221,842.8640127,4
667,908.4751403,846.030943,4
668,910.9751403,846.780943,4
669,907.9751403,847.530943,4
670,909.4751403,847.030943,4
671,909.0800666,848.2635313,4
672,910.5800666,848.0135313,4
673,912.4751403,848.780943,4
674,913.9751403,850.530943,4
675,914.9751403,851.530943,4
676,915.9751403,852.530943,4
677,912.2620015,852.4253882,4
678,912.7620015,850.9253882,4
679,913.4751403,852.030943,4
680,902.4674962,826.6651291,4
681,901.3214113,820.9699545,4
682,904.2578395,831.2718297,4
683,901.2741891,827.5172731,4
684,897.7414899,823.5263863,2
685,894.2251403,826.280943,4
686,900.7251403,834.030943,4
687,897.2251403,830.030943,4
688,901.4607022,840.0059544,4
689,898.7349082,836.8865227,4
690,895.9111026,833.5098071,4
691,893.79605,830.5363694,4
692,894.6342937,828.9380735,4
693,912.9751403,853.530943,4
694,914.4751403,853.030943,4
695,914.1604777,854.2569247,4
696,915.6604777,853.7569247,4
697,917.9751403,855.030943,4
698,919.9751403,857.530943,4
699,920.9751403,858.530943,4
700,918.2620015,859.4253882,4
701,918.7620015,857.9253882,4
702,919.4751403,859.030943,4
703,919.0803299,860.2385284,4
704,920.5803299,859.7385284,4
705,922.4751403,860.280943,4
706,922.5862753,862.2994632,4
707,921.6923266,863.5338053,4
708,922.0351143,864.5271453,4
709,923.8358559,866.3226519,4
710,926.9808376,867.4051214,4
711,926.0740446,864.3752726,4
712,955.1896095,855.0167554,4
713,952.590586,854.578902,4
714,949.0147314,851.0513655,4
715,943.4900076,844.8436243,4
716,939.9751168,840.5309479,4
717,937.4751403,837.530943,4
718,934.9751403,834.530943,4
719,932.4751302,831.5309656,4
720,929.9749024,828.5326724,4
721,927.0986364,824.9282493,4
722,922.8516443,820.1336366,4
723,919.12256,815.6775393,4
724,915.9113834,811.5599574,4
725,913.3904677,808.7660547,4
726,934.7251403,870.780943,4
727,937.9751403,871.030943,3
728,931.9751403,874.030943,4
729,937.9751403,874.530943,4
730,934.2251403,874.280943,2
731,935.9751403,876.030943,3
732,930.8240446,869.8752726,4
733,945.6400382,861.201464,4
734,939.5301063,866.4211166,4
735,950.9624654,859.4035479,4
736,953.4085992,860.9413211,1
737,951.2376375,863.6949183,4
738,946.538369,867.7503866,4
739,941.8319376,871.4045318,4
740,100.4561774,825.564764,4
741,274.6088755,814.1266963,4
742,315.562184,825.4442278,4
743,317.4667027,819.6345773,4
744,320.2525724,811.9437739,4
745,324.058255,804.3116621,4
746,328.8837504,796.7382419,4
747,332.8348104,789.275395,4
748,335.9114347,781.9231212,4
749,338.9880591,774.5708474,4
750,280.4751403,813.530943,4
751,276.4751403,816.530943,4
752,278.9751403,815.530943,4
753,278.7652478,808.6301675,4
754,278.6217176,805.2094615,4
755,280.9703623,807.2643923,4
756,281.8143644,809.7516593,4
757,281.1756123,812.0975039,4
758,424.9751403,803.030943,4
759,422.0770817,804.6299029,4
760,423.3364324,800.3736131,4
761,420.4383737,801.9725731,4
762,378.7251403,781.030943,2
763,380.7251403,784.280943,4
764,383.2251403,784.030943,4
765,382.9751403,786.280943,4
766,377.1193306,783.1102348,4
767,372.6161907,781.0501368,4
768,367.3215304,777.7713572,4
769,360.6495621,775.2590913,4
770,352.6002858,773.513339,4
771,344.5510095,771.7675867,4
772,374.9522356,776.7165349,2
773,367.9064262,773.0877189,4
774,359.9261529,770.1688167,4
775,351.0114156,767.9598285,4
776,344.516358,765.9896435,4
777,461.2251403,802.780943,4
778,463.9751403,803.030943,4
779,465.9751403,805.030943,4
780,460.9751403,805.030943,4
781,462.9751403,807.030943,4
782,465.7251403,807.280943,4
783,526.4751403,803.780943,4
784,522.7251403,803.780943,4
785,522.2251403,806.030943,3
786,522.2251403,808.280943,4
787,526.2251403,808.280943,4
788,574.7251403,804.280943,4
789,529.9751403,806.030943,4
790,607.7251403,805.280943,4
791,610.2251403,805.780943,3
792,612.4751403,808.280943,4
793,607.9751403,808.030943,4
794,612.7251403,810.780943,4
795,608.2251403,810.780943,4
796,610.4751403,810.780943,3
797,577.2251403,804.280943,4
798,602.8084737,804.8642763,3
799,593.4751403,804.530943,3
800,584.141807,804.1976096,3
801,574.9751403,807.030943,4
802,577.2251403,809.780943,3
803,579.4751403,807.030943,4
804,603.2251403,810.4476096,3
805,593.7251403,810.280943,3
806,584.2251403,810.1142763,3
807,654.4751403,812.030943,3
808,652.4282884,809.2711099,4
809,656.6006308,809.323763,4
810,654.5537789,806.5639299,2
811,703.5355594,808.6636642,3
812,712.6563975,808.9291066,1
813,721.7772356,809.1945491,1
814,695.9751403,807.530943,4
815,693.4751403,807.780943,4
816,697.9751403,808.030943,4
817,692.1829101,810.8956104,4
818,695.0496861,813.590278,1
819,698.3419163,810.9756105,4
820,702.4529861,813.6214818,1
821,711.9415737,814.0238892,1
822,721.4301613,814.4262965,1
823,726.2560549,811.9773852,4
824,728.9072424,814.6108863,1
825,729.1457135,809.3739442,1
826,731.7969011,812.0074452,4
827,743.7993928,810.2355232,1
828,735.9023125,809.6922531,1
829,758.4579901,810.454171,4
830,766.9444449,810.6633267,4
831,773.9649085,811.5750709,4
832,750.6148501,810.6040228,1
833,772.7333085,816.2966594,3
834,777.2251403,814.030943,1
835,776.7251403,816.280943,3
836,858.7251403,785.6142763,4
837,853.2251403,778.780943,4
838,847.7251403,771.9476096,4
839,862.4751403,790.530943,4
840,865.2016492,793.2931694,4
841,869.8149036,797.9242827,4
842,875.5883947,804.6620562,4
843,873.7251403,807.280943,4
844,904.9751403,807.030943,4
845,912.4751403,807.530943,4
846,907.2251403,808.780943,4
847,910.7251403,809.280943,1
848,902.8050617,816.2245111,4
849,906.9184474,812.428799,1
850,907.1734164,805.2705873,2
851,910.6734164,805.2705873,4
852,903.3566368,805.640192,4
853,899.5294009,801.7438699,4
854,894.6579002,795.7609619,4
855,890.3323635,788.8062883,4
856,886.1962533,782.8251868,4
857,881.9739618,778.0349432,4
858,876.6833667,772.1288773,4
859,870.6000762,764.8897036,4
860,864.5167856,757.6505298,4
861,877.4751403,809.030943,4
862,879.5612499,814.1039714,4
863,876.8112499,810.8539714,4
864,895.1001403,814.905943,2
865,901.3501403,809.655943,2
866,886.3501403,817.405943,4
867,881.1001403,811.155943,4
868,890.4751403,819.030943,4
869,893.9751403,819.530943,3
870,887.7251403,821.780943,4
871,894.4751403,823.030943,2
872,890.4751403,822.530943,4
873,892.4751403,824.530943,4
874,887.7251403,824.780943,4
875,890.4751403,825.530943,4
876,898.3617545,819.8266551,1
877,92.22514033,751.780943,4
878,86.97514033,751.030943,3
879,89.72514033,752.280943,4
880,86.39449701,753.3669466,4
881,84.92007348,752.6271194,4
882,84.66292603,751.1172065,4
883,85.63734956,749.6070338,4
884,87.47514033,753.280943,4
885,84.56986954,736.238284,3
886,86.11145585,744.5810085,4
887,92.97514033,754.530943,4
888,88.03335899,755.205828,3
889,91.03335899,756.955828,4
890,279.9114578,743.0874619,4
