time,value,a,b,c,d
07_03_05_p,0.001698063,0.00 ,0.05 ,0.10 ,99.85 
07_03_11_p,0.001990763,0.00 ,0.03 ,0.15 ,99.82 
07_03_17_p,0.001920878,0.01 ,0.05 ,0.15 ,99.80 
07_03_23_p,0.000976667,0.00 ,0.02 ,0.07 ,99.91 
07_03_29_p,0.000976024,0.00 ,0.05 ,0.05 ,99.91 
07_03_35_p,0.001544827,0.00 ,0.03 ,0.11 ,99.85 
07_03_41_p,0.002462404,0.00 ,0.13 ,0.09 ,99.78 
07_03_47_p,0.00066472,0.00 ,0.01 ,0.05 ,99.94 
07_03_53_p,0.001194264,0.00 ,0.01 ,0.10 ,99.89 
07_03_59_p,0.000905142,0.00 ,0.01 ,0.07 ,99.92 
07_04_05_p,0.001801598,0.00 ,0.02 ,0.17 ,99.81 
07_04_11_p,0.001044165,0.00 ,0.03 ,0.07 ,99.90 
07_04_17_p,0.001539896,0.01 ,0.03 ,0.11 ,99.84 
07_04_23_p,0.001218452,0.00 ,0.03 ,0.09 ,99.87 
07_04_29_p,0.000435657,0.00 ,0.01 ,0.03 ,99.95 
07_04_35_p,0.000640452,0.01 ,0.01 ,0.05 ,99.93 
07_04_41_p,0.000474561,0.00 ,0.01 ,0.03 ,99.95 
07_04_47_p,0.000939868,0.00 ,0.00 ,0.09 ,99.91 
07_04_53_p,0.000714619,0.00 ,0.01 ,0.06 ,99.93 
07_04_59_p,0.000850344,0.00 ,0.03 ,0.03 ,99.93 
07_05_05_p,0.000616471,0.00 ,0.03 ,0.02 ,99.94 
07_05_11_p,0.000474505,0.00 ,0.00 ,0.05 ,99.95 
07_05_17_p,0.000240614,0.00 ,0.01 ,0.01 ,99.98 
07_05_23_p,0.000966667,0.00 ,0.05 ,0.03 ,99.92 
07_05_29_p,0.000487218,0.00 ,0.02 ,0.02 ,99.95 
07_05_35_p,0.000400887,0.00 ,0.01 ,0.02 ,99.97 
07_05_41_p,0.000190981,0.00 ,0.01 ,0.01 ,99.98 
07_05_47_p,0.000410125,0.00 ,0.02 ,0.01 ,99.97 
07_05_53_p,0.000305708,0.00 ,0.01 ,0.03 ,99.95 
07_05_59_p,0.000213051,0.00 ,0.01 ,0.01 ,99.98 
07_06_05_p,0.000277192,0.00 ,0.02 ,0.01 ,99.97 
07_06_11_p,0.000312465,0.00 ,0.01 ,0.02 ,99.97 
07_06_17_p,0.000376607,0.00 ,0.02 ,0.02 ,99.95 
07_06_23_p,0.000450335,0.00 ,0.02 ,0.02 ,99.95 
07_06_29_p,0.000493535,0.00 ,0.02 ,0.02 ,99.95 
07_06_35_p,0.000259832,0.00 ,0.02 ,0.00 ,99.98 
07_06_41_p,0.000493932,0.00 ,0.03 ,0.01 ,99.95 
07_06_47_p,0.000459883,0.00 ,0.02 ,0.02 ,99.95 
07_06_53_p,6.41418E-05,0.00 ,0.00 ,0.01 ,99.99 
07_06_59_p,0.000865127,0.00 ,0.02 ,0.06 ,99.92 
07_07_05_p,0.000693262,0.00 ,0.01 ,0.07 ,99.92 
07_07_11_p,0.000208267,0.00 ,0.01 ,0.01 ,99.98 
07_07_17_p,0.000454793,0.00 ,0.00 ,0.05 ,99.95 
07_07_23_p,0.00162252,0.00 ,0.00 ,0.15 ,99.85 
07_07_29_p,0.002557824,0.00 ,0.08 ,0.16 ,99.76 
07_07_35_p,0.002929882,0.01 ,0.09 ,0.16 ,99.74 
07_07_41_p,0.003545075,0.01 ,0.11 ,0.19 ,99.68 
07_07_47_p,0.005136808,0.00 ,0.11 ,0.35 ,99.53 
07_07_53_p,0.006194021,0.01 ,0.13 ,0.44 ,99.42 
07_07_59_p,0.007181056,0.01 ,0.23 ,0.40 ,99.36 
07_08_05_p,0.007701616,0.01 ,0.23 ,0.50 ,99.26 
07_08_11_p,0.007655082,0.03 ,0.27 ,0.41 ,99.28 
07_08_17_p,0.012461225,0.02 ,0.35 ,0.79 ,98.84 
07_08_23_p,0.01718759,0.03 ,0.39 ,1.22 ,98.36 
07_08_29_p,0.024059301,0.05 ,0.61 ,1.63 ,97.71 
07_08_35_p,0.027601209,0.06 ,0.88 ,1.72 ,97.35 
07_08_41_p,0.035003969,0.03 ,1.04 ,2.31 ,96.62 
07_08_47_p,0.038953013,0.03 ,1.33 ,2.41 ,96.22 
07_08_53_p,0.043054798,0.06 ,1.45 ,2.61 ,95.89 
07_08_59_p,0.042823754,0.05 ,1.37 ,2.64 ,95.94 
07_09_05_p,0.045211064,0.09 ,1.71 ,2.52 ,95.68 
07_09_11_p,0.048134476,0.06 ,1.93 ,2.62 ,95.40 
07_09_17_p,0.054972841,0.10 ,2.37 ,2.81 ,94.71 
07_09_23_p,0.062123779,0.10 ,2.51 ,3.29 ,94.10 
07_09_29_p,0.070926469,0.11 ,2.87 ,3.77 ,93.24 
07_09_35_p,0.081121809,0.11 ,3.44 ,4.24 ,92.20 
07_09_41_p,0.093268924,0.10 ,4.07 ,4.73 ,91.09 
07_09_47_p,0.10220265,0.10 ,4.62 ,5.01 ,90.26 
07_09_53_p,0.108349272,0.15 ,5.28 ,4.96 ,89.61 
07_09_59_p,0.111603407,0.11 ,5.47 ,5.07 ,89.35 
07_10_05_p,0.117647084,0.09 ,5.91 ,5.16 ,88.84 
07_10_11_p,0.123449399,0.14 ,6.18 ,5.46 ,88.22 
07_10_17_p,0.131804824,0.19 ,6.92 ,5.41 ,87.48 
07_10_23_p,0.133615303,0.14 ,6.49 ,6.08 ,87.30 
07_10_29_p,0.138737248,0.10 ,6.63 ,6.48 ,86.79 
07_10_35_p,0.139798436,0.21 ,6.78 ,6.21 ,86.80 
07_10_41_p,0.140093906,0.11 ,6.50 ,6.66 ,86.73 
07_10_47_p,0.148359086,0.15 ,7.10 ,6.95 ,85.79 
07_10_53_p,0.144868716,0.15 ,6.86 ,6.95 ,86.05 
07_10_59_p,0.142152992,0.11 ,6.90 ,6.74 ,86.25 
07_11_05_p,0.139156497,0.13 ,6.92 ,6.30 ,86.65 
07_11_11_p,0.136271398,0.18 ,6.62 ,6.24 ,86.95 
07_11_17_p,0.137310244,0.17 ,6.40 ,6.59 ,86.84 
07_11_23_p,0.137757842,0.14 ,6.73 ,6.40 ,86.74 
07_11_29_p,0.136447428,0.15 ,6.55 ,6.48 ,86.81 
07_11_35_p,0.135651858,0.09 ,6.75 ,6.37 ,86.79 
07_11_41_p,0.130435994,0.11 ,6.44 ,6.07 ,87.37 
07_11_47_p,0.131619447,0.15 ,6.30 ,6.34 ,87.21 
07_11_53_p,0.125311562,0.10 ,6.22 ,5.73 ,87.95 
07_11_59_p,0.119095899,0.13 ,5.73 ,5.66 ,88.48 
07_12_05_p,0.109490455,0.09 ,5.78 ,4.60 ,89.53 
07_12_11_p,0.102331764,0.10 ,5.54 ,4.28 ,90.08 
07_12_17_p,0.102896704,0.16 ,5.13 ,4.65 ,90.05 
07_12_23_p,0.102360059,0.14 ,5.16 ,4.53 ,90.18 
07_12_29_p,0.103388344,0.10 ,4.98 ,4.81 ,90.11 
07_12_35_p,0.10067353,0.11 ,4.52 ,5.04 ,90.33 
07_12_41_p,0.100682993,0.10 ,4.42 ,5.05 ,90.42 
07_12_47_p,0.098289246,0.09 ,4.64 ,4.67 ,90.59 
07_12_53_p,0.098677313,0.15 ,4.80 ,4.55 ,90.51 
07_12_59_p,0.098810498,0.13 ,4.84 ,4.52 ,90.51 
07_13_05_p,0.095792911,0.08 ,4.87 ,4.38 ,90.66 
07_13_11_p,0.099478947,0.08 ,4.96 ,4.57 ,90.39 
07_13_17_p,0.103270155,0.13 ,4.75 ,5.03 ,90.10 
07_13_23_p,0.106042759,0.14 ,5.03 ,5.04 ,89.80 
07_13_29_p,0.112779313,0.10 ,5.08 ,5.73 ,89.08 
07_13_35_p,0.114231611,0.10 ,5.38 ,5.51 ,89.00 
07_13_41_p,0.119464173,0.14 ,5.65 ,5.76 ,88.45 
07_13_47_p,0.122456449,0.14 ,5.33 ,6.31 ,88.22 
07_13_53_p,0.125822582,0.14 ,5.91 ,6.07 ,87.88 
07_13_59_p,0.129723055,0.11 ,6.18 ,6.18 ,87.53 
07_14_05_p,0.129348413,0.13 ,6.51 ,5.84 ,87.53 
07_14_11_p,0.129733602,0.13 ,6.28 ,6.08 ,87.51 
07_14_17_p,0.131189196,0.10 ,6.44 ,5.95 ,87.51 
07_14_23_p,0.13158832,0.14 ,6.61 ,5.88 ,87.37 
07_14_29_p,0.134315584,0.11 ,6.75 ,6.07 ,87.07 
07_14_35_p,0.138129786,0.18 ,6.87 ,6.33 ,86.61 
07_14_41_p,0.141097873,0.13 ,7.08 ,6.52 ,86.27 
07_14_47_p,0.138227891,0.13 ,6.90 ,6.34 ,86.63 
07_14_53_p,0.13922046,0.11 ,7.09 ,6.37 ,86.43 
07_14_59_p,0.135230213,0.15 ,7.13 ,5.99 ,86.72 
07_15_05_p,0.141316155,0.09 ,6.82 ,6.76 ,86.32 
07_15_11_p,0.140164866,0.06 ,7.01 ,6.44 ,86.49 
07_15_17_p,0.138276224,0.16 ,7.25 ,6.16 ,86.43 
07_15_23_p,0.142071187,0.17 ,7.68 ,6.00 ,86.15 
07_15_29_p,0.140473124,0.17 ,7.23 ,6.36 ,86.24 
07_15_35_p,0.138233045,0.14 ,7.29 ,6.08 ,86.49 
07_15_41_p,0.141014729,0.15 ,7.47 ,6.18 ,86.20 
07_15_47_p,0.147559017,0.22 ,7.73 ,6.39 ,85.66 
07_15_53_p,0.149624863,0.20 ,7.79 ,6.62 ,85.40 
07_15_59_p,0.149993378,0.18 ,7.74 ,6.58 ,85.50 
07_16_05_p,0.152641424,0.16 ,7.99 ,6.68 ,85.17 
07_16_11_p,0.154272918,0.21 ,8.45 ,6.32 ,85.03 
07_16_17_p,0.148070176,0.13 ,9.01 ,5.42 ,85.44 
07_16_23_p,0.15314062,0.16 ,8.88 ,5.94 ,85.02 
07_16_29_p,0.1590305,0.20 ,8.79 ,6.50 ,84.51 
07_16_35_p,0.161814526,0.20 ,9.04 ,6.56 ,84.21 
07_16_41_p,0.166548932,0.21 ,9.42 ,6.53 ,83.84 
07_16_47_p,0.161685431,0.23 ,8.72 ,6.91 ,84.13 
07_16_53_p,0.166821083,0.18 ,9.04 ,7.09 ,83.69 
07_16_59_p,0.173459513,0.26 ,9.56 ,7.06 ,83.11 
07_17_05_p,0.173801712,0.24 ,9.18 ,7.48 ,83.10 
07_17_11_p,0.175906708,0.22 ,10.03 ,6.86 ,82.89 
07_17_17_p,0.178428785,0.21 ,10.32 ,6.81 ,82.66 
07_17_23_p,0.178003195,0.29 ,10.25 ,6.69 ,82.77 
07_17_29_p,0.187573255,0.29 ,11.03 ,6.79 ,81.89 
07_17_35_p,0.187612931,0.17 ,11.03 ,6.90 ,81.90 
07_17_41_p,0.190782892,0.24 ,11.23 ,7.10 ,81.42 
07_17_47_p,0.186329461,0.27 ,10.65 ,7.32 ,81.76 
07_17_53_p,0.183160102,0.25 ,10.86 ,6.69 ,82.19 
07_17_59_p,0.168682609,0.16 ,9.79 ,6.53 ,83.51 
07_18_05_p,0.157977826,0.21 ,9.26 ,6.06 ,84.47 
07_18_11_p,0.154178718,0.22 ,8.61 ,6.25 ,84.92 
07_18_17_p,0.14501354,0.11 ,7.34 ,6.71 ,85.83 
07_18_23_p,0.130504056,0.22 ,6.81 ,5.57 ,87.40 
07_18_29_p,0.120614515,0.14 ,6.71 ,4.81 ,88.34 
07_18_35_p,0.109337314,0.10 ,6.38 ,4.22 ,89.30 
07_18_41_p,0.101285888,0.09 ,5.51 ,4.26 ,90.14 
07_18_47_p,0.090324757,0.13 ,4.45 ,4.27 ,91.15 
07_18_53_p,0.085419864,0.16 ,4.23 ,3.97 ,91.64 
07_18_59_p,0.074930914,0.07 ,3.38 ,3.73 ,92.82 
07_19_05_p,0.063494464,0.07 ,2.74 ,3.40 ,93.79 
07_19_11_p,0.049280681,0.03 ,2.54 ,2.19 ,95.24 
07_19_17_p,0.042313711,0.06 ,2.19 ,1.79 ,95.96 
07_19_23_p,0.039202866,0.02 ,2.24 ,1.47 ,96.27 
07_19_29_p,0.035867564,0.06 ,2.12 ,1.24 ,96.57 
07_19_35_p,0.029933437,0.03 ,1.51 ,1.30 ,97.16 
07_19_41_p,0.029378272,0.06 ,1.14 ,1.65 ,97.15 
07_19_47_p,0.029813573,0.07 ,1.25 ,1.58 ,97.09 
07_19_53_p,0.02439196,0.07 ,0.88 ,1.36 ,97.70 
07_19_59_p,0.020234776,0.05 ,0.70 ,1.22 ,98.04 
07_20_05_p,0.017753456,0.05 ,0.67 ,1.00 ,98.28 
07_20_11_p,0.016557632,0.06 ,0.57 ,0.95 ,98.43 
07_20_17_p,0.013958433,0.01 ,0.51 ,0.81 ,98.67 
07_20_23_p,0.01181197,0.01 ,0.51 ,0.58 ,98.90 
07_20_29_p,0.01111767,0.00 ,0.31 ,0.73 ,98.96 
07_20_35_p,0.010233375,0.00 ,0.28 ,0.68 ,99.03 
07_20_41_p,0.009845467,0.02 ,0.19 ,0.71 ,99.08 
07_20_47_p,0.009185483,0.01 ,0.32 ,0.51 ,99.16 
07_20_53_p,0.009872701,0.01 ,0.23 ,0.67 ,99.09 
07_20_59_p,0.00885261,0.00 ,0.23 ,0.59 ,99.18 
07_21_05_p,0.007219026,0.01 ,0.21 ,0.49 ,99.29 
07_21_11_p,0.005506044,0.00 ,0.16 ,0.36 ,99.48 
07_21_17_p,0.005926887,0.01 ,0.17 ,0.39 ,99.43 
07_21_23_p,0.006802387,0.01 ,0.19 ,0.44 ,99.35 
07_21_29_p,0.008078605,0.02 ,0.22 ,0.58 ,99.18 
07_21_35_p,0.007737232,0.00 ,0.25 ,0.51 ,99.24 
07_21_41_p,0.006544889,0.01 ,0.19 ,0.43 ,99.36 
07_21_47_p,0.006128578,0.02 ,0.15 ,0.43 ,99.40 
07_21_53_p,0.00602912,0.00 ,0.11 ,0.44 ,99.44 
07_21_59_p,0.007470196,0.00 ,0.20 ,0.51 ,99.28 
07_22_05_p,0.005437523,0.00 ,0.10 ,0.40 ,99.50 
07_22_11_p,0.005374481,0.00 ,0.17 ,0.33 ,99.50 
07_22_17_p,0.005401027,0.00 ,0.14 ,0.36 ,99.50 
07_22_23_p,0.006137577,0.00 ,0.22 ,0.35 ,99.43 
07_22_29_p,0.005238214,0.01 ,0.19 ,0.30 ,99.50 
07_22_35_p,0.005074923,0.00 ,0.18 ,0.31 ,99.51 
07_22_41_p,0.005074613,0.01 ,0.17 ,0.33 ,99.49 
07_22_47_p,0.003925636,0.00 ,0.13 ,0.24 ,99.64 
07_22_53_p,0.002582916,0.00 ,0.06 ,0.20 ,99.74 
07_22_59_p,0.002236448,0.02 ,0.03 ,0.17 ,99.77 
07_23_05_p,0.002085813,0.00 ,0.07 ,0.11 ,99.82 
07_23_11_p,0.002165224,0.00 ,0.07 ,0.14 ,99.80 
07_23_17_p,0.001250194,0.00 ,0.07 ,0.07 ,99.86 
07_23_23_p,0.001496087,0.00 ,0.06 ,0.09 ,99.85 
07_23_29_p,0.001161136,0.00 ,0.06 ,0.06 ,99.89 
07_23_35_p,0.001335937,0.00 ,0.05 ,0.08 ,99.87 
07_23_41_p,0.001466546,0.01 ,0.03 ,0.09 ,99.86 
07_23_47_p,0.001312684,0.01 ,0.05 ,0.06 ,99.89 
07_23_53_p,0.001349059,0.01 ,0.06 ,0.06 ,99.87 
08_00_00_p,0.001500404,0.02 ,0.02 ,0.10 ,99.85 
