time,value,a,b,c,d
07_00_00_p,0.001844335,0.00 ,0.10 ,0.07 ,99.83 
07_00_04_p,0.003141993,0.00 ,0.14 ,0.15 ,99.72 
07_00_10_p,0.002747215,0.01 ,0.09 ,0.14 ,99.76 
07_00_16_p,0.003946024,0.03 ,0.11 ,0.22 ,99.64 
07_00_22_p,0.003630859,0.01 ,0.18 ,0.11 ,99.69 
07_00_28_p,0.003890308,0.01 ,0.18 ,0.17 ,99.64 
07_00_34_p,0.004190584,0.02 ,0.16 ,0.22 ,99.60 
07_00_40_p,0.004352372,0.02 ,0.19 ,0.24 ,99.54 
07_00_46_p,0.003489773,0.02 ,0.10 ,0.22 ,99.66 
07_00_52_p,0.004348664,0.00 ,0.25 ,0.16 ,99.59 
07_00_58_p,0.004484689,0.00 ,0.20 ,0.23 ,99.57 
07_01_04_p,0.002974769,0.00 ,0.13 ,0.14 ,99.74 
07_01_10_p,0.002240556,0.00 ,0.09 ,0.10 ,99.81 
07_01_16_p,0.002896237,0.00 ,0.11 ,0.15 ,99.74 
07_01_22_p,0.002767443,0.00 ,0.15 ,0.09 ,99.76 
07_01_29_p,0.003811763,0.02 ,0.13 ,0.24 ,99.61 
07_01_35_p,0.003309958,0.01 ,0.17 ,0.14 ,99.68 
07_01_41_p,0.002849287,0.00 ,0.17 ,0.14 ,99.69 
07_01_47_p,0.002505554,0.00 ,0.14 ,0.11 ,99.75 
07_01_53_p,0.001564262,0.00 ,0.05 ,0.11 ,99.84 
07_01_59_p,0.001993226,0.00 ,0.07 ,0.11 ,99.82 
07_02_05_p,0.002853153,0.01 ,0.10 ,0.16 ,99.73 
07_02_11_p,0.001828951,0.00 ,0.05 ,0.14 ,99.82 
07_02_17_p,0.002100029,0.00 ,0.10 ,0.10 ,99.80 
07_02_23_p,0.002267262,0.00 ,0.08 ,0.15 ,99.77 
07_02_29_p,0.002143928,0.00 ,0.07 ,0.13 ,99.81 
07_02_35_p,0.002104089,0.00 ,0.09 ,0.10 ,99.81 
07_02_41_p,0.00152728,0.00 ,0.05 ,0.09 ,99.86 
07_02_47_p,0.002010469,0.00 ,0.08 ,0.10 ,99.82 
07_02_53_p,0.001558085,0.00 ,0.07 ,0.07 ,99.86 
07_02_59_p,0.002002204,0.00 ,0.09 ,0.09 ,99.82 
