time,value,a,b,c,d
03_00_00_p,0.001484022,0.00 ,0.07 ,0.10 ,99.83 
03_00_04_p,0.002638746,0.00 ,0.15 ,0.11 ,99.74 
03_00_10_p,0.002498782,0.00 ,0.13 ,0.13 ,99.75 
03_00_16_p,0.00431572,0.00 ,0.20 ,0.20 ,99.59 
03_00_22_p,0.003651901,0.01 ,0.16 ,0.17 ,99.66 
03_00_28_p,0.003332714,0.01 ,0.15 ,0.19 ,99.65 
03_00_34_p,0.002821201,0.01 ,0.10 ,0.19 ,99.69 
03_00_40_p,0.002369774,0.00 ,0.14 ,0.09 ,99.77 
03_00_46_p,0.004657653,0.01 ,0.19 ,0.25 ,99.54 
03_00_52_p,0.00406023,0.02 ,0.22 ,0.18 ,99.58 
03_00_58_p,0.004821611,0.00 ,0.18 ,0.25 ,99.57 
03_01_04_p,0.003124942,0.00 ,0.10 ,0.18 ,99.72 
03_01_10_p,0.005120722,0.01 ,0.22 ,0.26 ,99.51 
03_01_16_p,0.002021508,0.00 ,0.11 ,0.09 ,99.80 
03_01_22_p,0.002346033,0.01 ,0.09 ,0.11 ,99.78 
03_01_28_p,0.00241202,0.00 ,0.15 ,0.09 ,99.76 
03_01_34_p,0.003390582,0.02 ,0.18 ,0.13 ,99.67 
03_01_40_p,0.002875508,0.00 ,0.16 ,0.13 ,99.72 
03_01_46_p,0.002352377,0.00 ,0.11 ,0.10 ,99.78 
03_01_52_p,0.003291013,0.01 ,0.14 ,0.16 ,99.69 
03_01_58_p,0.002690708,0.01 ,0.10 ,0.17 ,99.72 
03_02_04_p,0.001876198,0.00 ,0.05 ,0.14 ,99.82 
03_02_10_p,0.002803232,0.00 ,0.11 ,0.17 ,99.72 
03_02_16_p,0.002523416,0.00 ,0.09 ,0.15 ,99.76 
03_02_22_p,0.002929355,0.00 ,0.07 ,0.20 ,99.73 
03_02_28_p,0.002065635,0.00 ,0.06 ,0.14 ,99.81 
03_02_34_p,0.002190103,0.00 ,0.08 ,0.14 ,99.78 
03_02_40_p,0.001724648,0.00 ,0.06 ,0.10 ,99.84 
03_02_46_p,0.001671494,0.00 ,0.08 ,0.08 ,99.84 
03_02_52_p,0.001825569,0.00 ,0.07 ,0.10 ,99.83 
03_02_58_p,0.001329751,0.00 ,0.05 ,0.07 ,99.89 
03_03_04_p,0.000765825,0.00 ,0.03 ,0.03 ,99.93 
03_03_10_p,0.001011683,0.00 ,0.02 ,0.07 ,99.91 
03_03_16_p,0.001073151,0.00 ,0.00 ,0.10 ,99.90 
03_03_22_p,0.000983488,0.00 ,0.03 ,0.06 ,99.91 
03_03_28_p,0.002078686,0.01 ,0.03 ,0.15 ,99.81 
03_03_34_p,0.00099908,0.00 ,0.00 ,0.09 ,99.91 
03_03_40_p,0.000851917,0.00 ,0.00 ,0.08 ,99.92 
03_03_46_p,0.000759991,0.00 ,0.00 ,0.08 ,99.92 
03_03_52_p,0.001193272,0.01 ,0.02 ,0.08 ,99.89 
03_03_58_p,0.00120987,0.00 ,0.01 ,0.10 ,99.89 
03_04_04_p,0.00138377,0.00 ,0.05 ,0.09 ,99.86 
03_04_10_p,0.001290859,0.00 ,0.05 ,0.08 ,99.87 
03_04_16_p,0.001255536,0.01 ,0.03 ,0.07 ,99.89 
03_04_22_p,0.000775447,0.00 ,0.03 ,0.05 ,99.92 
03_04_28_p,0.000747867,0.00 ,0.01 ,0.07 ,99.92 
03_04_34_p,0.000598298,0.00 ,0.01 ,0.05 ,99.94 
03_04_40_p,0.000355324,0.00 ,0.02 ,0.01 ,99.97 
