time,value,a,b,c,d
03_04_46_p,0.001467618,0.01 ,0.02 ,0.14 ,99.83 
03_04_52_p,0.000543194,0.00 ,0.01 ,0.05 ,99.94 
03_04_58_p,0.001481357,0.00 ,0.02 ,0.10 ,99.87 
03_05_04_p,0.00058323,0.00 ,0.01 ,0.06 ,99.93 
03_05_10_p,0.001089225,0.00 ,0.03 ,0.07 ,99.90 
03_05_16_p,0.001447076,0.00 ,0.06 ,0.07 ,99.87 
03_05_22_p,0.000905862,0.00 ,0.05 ,0.03 ,99.92 
03_05_28_p,0.000436865,0.00 ,0.01 ,0.02 ,99.97 
03_05_34_p,0.000487416,0.00 ,0.01 ,0.03 ,99.95 
03_05_40_p,0.000491822,0.00 ,0.02 ,0.02 ,99.95 
03_05_46_p,0.000360786,0.00 ,0.02 ,0.01 ,99.97 
03_05_52_p,0.000402149,0.00 ,0.01 ,0.02 ,99.97 
03_05_58_p,0.000773619,0.00 ,0.03 ,0.05 ,99.92 
03_06_04_p,0.000672159,0.01 ,0.02 ,0.03 ,99.93 
03_06_10_p,0.002765082,0.01 ,0.09 ,0.19 ,99.70 
03_06_16_p,0.00480288,0.01 ,0.19 ,0.28 ,99.51 
03_06_22_p,0.00736569,0.00 ,0.19 ,0.51 ,99.29 
03_06_28_p,0.01318496,0.01 ,0.39 ,0.84 ,98.76 
03_06_34_p,0.019226798,0.02 ,0.76 ,1.09 ,98.12 
03_06_40_p,0.025827909,0.02 ,1.33 ,1.11 ,97.54 
03_06_46_p,0.034555542,0.06 ,1.72 ,1.56 ,96.66 
03_06_52_p,0.047195264,0.08 ,2.32 ,2.12 ,95.48 
03_06_58_p,0.063368147,0.06 ,3.13 ,2.91 ,93.90 
03_07_04_p,0.078149982,0.08 ,3.94 ,3.48 ,92.51 
03_07_10_p,0.092672896,0.08 ,4.79 ,4.00 ,91.12 
03_07_16_p,0.106740963,0.16 ,5.45 ,4.75 ,89.64 
03_07_22_p,0.125883379,0.21 ,6.40 ,5.64 ,87.75 
03_07_28_p,0.139076892,0.16 ,7.60 ,5.80 ,86.43 
03_07_34_p,0.152200939,0.22 ,7.76 ,6.70 ,85.31 
03_07_40_p,0.165113875,0.24 ,9.02 ,6.76 ,83.98 
03_07_46_p,0.171741707,0.24 ,9.55 ,6.87 ,83.34 
03_07_52_p,0.183306381,0.15 ,10.53 ,7.18 ,82.14 
03_07_58_p,0.184364294,0.20 ,10.80 ,7.00 ,82.01 
03_08_04_p,0.181070275,0.22 ,10.90 ,6.52 ,82.37 
03_08_10_p,0.180415238,0.23 ,10.82 ,6.62 ,82.32 
03_08_16_p,0.177397436,0.30 ,10.33 ,6.74 ,82.62 
03_08_22_p,0.171756158,0.22 ,10.38 ,6.16 ,83.24 
03_08_28_p,0.172269482,0.20 ,10.53 ,6.05 ,83.22 
03_08_34_p,0.168586978,0.24 ,10.21 ,6.02 ,83.53 
03_08_40_p,0.163873246,0.20 ,10.12 ,5.54 ,84.15 
03_08_46_p,0.150899082,0.18 ,8.72 ,5.61 ,85.49 
03_08_52_p,0.140179777,0.10 ,8.15 ,5.23 ,86.52 
03_08_58_p,0.130702302,0.14 ,7.56 ,4.81 ,87.49 
03_09_04_p,0.119483548,0.14 ,6.30 ,4.97 ,88.58 
03_09_10_p,0.112788609,0.08 ,6.42 ,4.36 ,89.14 
03_09_16_p,0.112330114,0.20 ,6.14 ,4.43 ,89.23 
03_09_22_p,0.106805411,0.14 ,5.86 ,4.31 ,89.68 
03_09_28_p,0.108639268,0.14 ,5.84 ,4.54 ,89.48 
03_09_34_p,0.110706283,0.15 ,6.24 ,4.29 ,89.32 
03_09_40_p,0.110633639,0.12 ,6.19 ,4.40 ,89.30 
03_09_46_p,0.113299343,0.14 ,6.37 ,4.51 ,88.99 
03_09_52_p,0.104152623,0.09 ,5.88 ,4.09 ,89.94 
03_09_58_p,0.09843085,0.06 ,5.15 ,4.30 ,90.49 
03_10_04_p,0.095725906,0.08 ,5.20 ,4.01 ,90.71 
03_10_10_p,0.0936393,0.14 ,4.84 ,3.98 ,91.04 
03_10_16_p,0.092508763,0.07 ,4.79 ,3.94 ,91.19 
03_10_22_p,0.092801684,0.07 ,5.10 ,3.78 ,91.05 
03_10_28_p,0.091545967,0.09 ,5.58 ,3.14 ,91.19 
03_10_34_p,0.092787867,0.06 ,5.14 ,3.77 ,91.04 
03_10_40_p,0.090115223,0.08 ,4.80 ,3.80 ,91.32 
03_10_46_p,0.087445978,0.07 ,4.77 ,3.64 ,91.52 
03_10_52_p,0.085160948,0.14 ,4.10 ,3.98 ,91.78 
03_10_58_p,0.081371883,0.05 ,3.84 ,3.96 ,92.15 
03_11_04_p,0.071628684,0.08 ,3.49 ,3.38 ,93.05 
03_11_10_p,0.068035106,0.08 ,3.27 ,3.17 ,93.48 
03_11_16_p,0.066661116,0.14 ,3.02 ,3.27 ,93.56 
03_11_22_p,0.068627141,0.14 ,3.33 ,3.16 ,93.37 
03_11_28_p,0.065308019,0.09 ,2.99 ,3.10 ,93.82 
03_11_34_p,0.064390744,0.11 ,2.77 ,3.29 ,93.82 
03_11_40_p,0.058768645,0.09 ,2.65 ,2.90 ,94.36 
03_11_46_p,0.053932614,0.10 ,2.13 ,2.90 ,94.86 
03_11_52_p,0.050043153,0.09 ,1.95 ,2.73 ,95.23 
03_11_58_p,0.050485804,0.09 ,2.13 ,2.67 ,95.10 
03_12_04_p,0.046287787,0.10 ,1.89 ,2.45 ,95.55 
03_12_10_p,0.04156318,0.06 ,1.85 ,2.05 ,96.04 
03_12_16_p,0.037468238,0.05 ,1.68 ,1.86 ,96.42 
03_12_22_p,0.035404408,0.05 ,1.62 ,1.77 ,96.57 
03_12_28_p,0.03662666,0.05 ,1.54 ,1.98 ,96.43 
03_12_34_p,0.032000163,0.06 ,1.24 ,1.75 ,96.95 
03_12_40_p,0.033830718,0.03 ,1.20 ,1.97 ,96.80 
03_12_46_p,0.034858506,0.02 ,1.27 ,2.04 ,96.67 
03_12_52_p,0.036765366,0.02 ,1.63 ,1.80 ,96.55 
03_12_58_p,0.03742532,0.01 ,1.48 ,1.98 ,96.53 
03_13_04_p,0.042028381,0.03 ,1.47 ,2.46 ,96.04 
03_13_10_p,0.047845828,0.09 ,1.72 ,2.68 ,95.51 
03_13_16_p,0.052632894,0.03 ,1.96 ,2.95 ,95.05 
03_13_22_p,0.060732882,0.06 ,2.46 ,3.24 ,94.24 
03_13_28_p,0.068152631,0.08 ,2.79 ,3.71 ,93.42 
03_13_34_p,0.074443734,0.09 ,3.01 ,4.07 ,92.83 
03_13_40_p,0.075663423,0.05 ,3.42 ,3.79 ,92.74 
03_13_46_p,0.080029837,0.07 ,3.59 ,3.98 ,92.36 
03_13_52_p,0.084152724,0.08 ,3.68 ,4.27 ,91.97 
03_13_58_p,0.086821702,0.08 ,3.72 ,4.59 ,91.61 
03_14_04_p,0.083798513,0.05 ,3.54 ,4.47 ,91.94 
03_14_10_p,0.082880418,0.14 ,3.48 ,4.44 ,91.94 
03_14_16_p,0.082549812,0.07 ,3.52 ,4.37 ,92.05 
03_14_22_p,0.079339476,0.13 ,3.48 ,4.01 ,92.38 
03_14_28_p,0.08248815,0.08 ,3.65 ,4.19 ,92.08 
03_14_34_p,0.076139694,0.09 ,3.24 ,3.99 ,92.68 
03_14_40_p,0.068911438,0.06 ,2.89 ,3.69 ,93.37 
03_14_46_p,0.069678652,0.08 ,3.23 ,3.41 ,93.28 
03_14_52_p,0.069347996,0.09 ,2.85 ,3.76 ,93.29 
03_14_58_p,0.06907369,0.07 ,2.90 ,3.66 ,93.37 
03_15_04_p,0.068149062,0.13 ,2.76 ,3.68 ,93.43 
03_15_10_p,0.063776534,0.06 ,2.63 ,3.48 ,93.83 
03_15_16_p,0.063768281,0.10 ,2.57 ,3.52 ,93.81 
03_15_22_p,0.064264964,0.07 ,2.68 ,3.46 ,93.79 
03_15_28_p,0.067025128,0.10 ,2.49 ,3.83 ,93.58 
03_15_34_p,0.06533661,0.10 ,2.52 ,3.65 ,93.72 
03_15_40_p,0.067477877,0.05 ,2.75 ,3.69 ,93.52 
03_15_46_p,0.071063356,0.09 ,3.12 ,3.74 ,93.05 
03_15_52_p,0.07183144,0.07 ,3.03 ,3.88 ,93.03 
03_15_58_p,0.078285498,0.05 ,3.17 ,4.28 ,92.50 
03_16_04_p,0.084527054,0.13 ,3.03 ,5.02 ,91.83 
03_16_10_p,0.086031577,0.08 ,3.61 ,4.52 ,91.79 
03_16_16_p,0.088834671,0.07 ,3.85 ,4.61 ,91.47 
03_16_22_p,0.097476161,0.11 ,4.19 ,5.00 ,90.69 
03_16_28_p,0.099707272,0.11 ,4.73 ,4.80 ,90.36 
03_16_34_p,0.099766035,0.11 ,4.68 ,4.74 ,90.47 
03_16_40_p,0.105537233,0.13 ,4.84 ,5.10 ,89.93 
03_16_46_p,0.107657103,0.11 ,5.12 ,5.09 ,89.67 
03_16_52_p,0.115328522,0.16 ,5.63 ,5.35 ,88.86 
03_16_58_p,0.119925213,0.19 ,5.87 ,5.57 ,88.36 
03_17_04_p,0.133304032,0.15 ,6.46 ,6.40 ,87.00 
03_17_10_p,0.146243985,0.21 ,7.80 ,6.34 ,85.66 
03_17_16_p,0.161493606,0.21 ,9.28 ,6.45 ,84.06 
03_17_22_p,0.176981707,0.24 ,10.26 ,6.93 ,82.57 
03_17_28_p,0.187281956,0.22 ,10.67 ,7.55 ,81.57 
03_17_34_p,0.186891241,0.16 ,11.12 ,7.17 ,81.54 
03_17_40_p,0.194344959,0.23 ,11.07 ,7.89 ,80.80 
03_17_46_p,0.193973149,0.26 ,11.68 ,7.30 ,80.76 
03_17_52_p,0.195869548,0.31 ,11.73 ,7.35 ,80.60 
03_17_58_p,0.197699112,0.26 ,12.23 ,6.99 ,80.52 
03_18_04_p,0.201759011,0.24 ,11.95 ,7.64 ,80.17 
03_18_10_p,0.198048984,0.23 ,12.07 ,7.05 ,80.65 
03_18_16_p,0.191837437,0.23 ,11.39 ,7.29 ,81.08 
03_18_22_p,0.185766733,0.23 ,11.25 ,6.79 ,81.74 
03_18_28_p,0.180753909,0.19 ,10.77 ,6.77 ,82.28 
03_18_34_p,0.170717961,0.12 ,10.63 ,5.87 ,83.38 
03_18_40_p,0.165123945,0.12 ,10.14 ,5.86 ,83.89 
03_18_46_p,0.154694552,0.16 ,8.90 ,6.00 ,84.95 
03_18_52_p,0.144945017,0.23 ,8.03 ,5.92 ,85.81 
03_18_58_p,0.136810449,0.14 ,8.26 ,4.95 ,86.65 
03_19_04_p,0.120686943,0.18 ,6.98 ,4.72 ,88.12 
03_19_10_p,0.107605705,0.11 ,6.07 ,4.24 ,89.57 
03_19_16_p,0.093434041,0.13 ,5.24 ,3.63 ,91.00 
03_19_22_p,0.084534067,0.09 ,4.56 ,3.50 ,91.84 
03_19_28_p,0.07911462,0.10 ,4.48 ,3.11 ,92.31 
03_19_34_p,0.074000452,0.05 ,4.17 ,2.91 ,92.88 
03_19_40_p,0.065865207,0.07 ,3.40 ,2.90 ,93.64 
03_19_46_p,0.059960202,0.07 ,3.03 ,2.70 ,94.20 
03_19_52_p,0.052991881,0.11 ,2.60 ,2.40 ,94.89 
03_19_58_p,0.044853938,0.05 ,2.03 ,2.25 ,95.68 
03_20_04_p,0.037078497,0.02 ,1.27 ,2.27 ,96.44 
03_20_10_p,0.03571758,0.02 ,1.57 ,1.90 ,96.50 
03_20_16_p,0.035331377,0.02 ,1.46 ,1.91 ,96.61 
03_20_22_p,0.03617728,0.03 ,1.32 ,2.13 ,96.51 
03_20_28_p,0.035005059,0.06 ,1.45 ,1.84 ,96.65 
03_20_34_p,0.032723418,0.02 ,1.21 ,1.91 ,96.86 
03_20_40_p,0.032760696,0.05 ,1.12 ,1.97 ,96.87 
03_20_46_p,0.028294568,0.05 ,1.07 ,1.58 ,97.30 
03_20_52_p,0.027889487,0.03 ,0.91 ,1.72 ,97.33 
03_20_58_p,0.025167337,0.03 ,0.92 ,1.43 ,97.61 
03_21_04_p,0.024811844,0.01 ,0.80 ,1.55 ,97.64 
03_21_10_p,0.021865945,0.01 ,0.92 ,1.17 ,97.89 
03_21_16_p,0.019872103,0.01 ,0.67 ,1.24 ,98.07 
03_21_22_p,0.020966018,0.01 ,0.74 ,1.29 ,97.96 
03_21_28_p,0.022052461,0.02 ,0.63 ,1.44 ,97.91 
03_21_34_p,0.02151043,0.01 ,0.81 ,1.22 ,97.96 
03_21_40_p,0.01941675,0.00 ,0.85 ,1.01 ,98.13 
03_21_46_p,0.017068347,0.02 ,0.70 ,0.96 ,98.32 
03_21_52_p,0.016948044,0.03 ,0.72 ,0.87 ,98.38 
03_21_58_p,0.016762103,0.00 ,0.60 ,0.99 ,98.41 
03_22_04_p,0.017643649,0.03 ,0.67 ,0.97 ,98.33 
03_22_10_p,0.01495907,0.02 ,0.57 ,0.83 ,98.58 
03_22_16_p,0.013508306,0.02 ,0.51 ,0.77 ,98.69 
03_22_22_p,0.013591042,0.00 ,0.54 ,0.75 ,98.71 
03_22_28_p,0.012043001,0.00 ,0.48 ,0.66 ,98.86 
03_22_34_p,0.009833176,0.00 ,0.30 ,0.64 ,99.07 
03_22_40_p,0.008651187,0.00 ,0.25 ,0.56 ,99.19 
03_22_46_p,0.005841894,0.00 ,0.13 ,0.42 ,99.45 
03_22_52_p,0.003600284,0.00 ,0.09 ,0.26 ,99.65 
03_22_58_p,0.003517266,0.00 ,0.10 ,0.22 ,99.68 
03_23_04_p,0.002657215,0.00 ,0.05 ,0.22 ,99.74 
03_23_10_p,0.003902587,0.01 ,0.11 ,0.25 ,99.62 
03_23_16_p,0.002073803,0.00 ,0.02 ,0.18 ,99.80 
03_23_22_p,0.002579081,0.00 ,0.06 ,0.18 ,99.76 
03_23_28_p,0.00236255,0.00 ,0.06 ,0.16 ,99.78 
03_23_34_p,0.001538487,0.00 ,0.05 ,0.09 ,99.86 
03_23_40_p,0.00118598,0.00 ,0.03 ,0.07 ,99.90 
03_23_46_p,0.002010304,0.00 ,0.05 ,0.13 ,99.83 
03_23_52_p,0.002331432,0.01 ,0.02 ,0.18 ,99.78 
04_00_00_p,0.001983363,0.00 ,0.05 ,0.14 ,99.82 
