time,value,a,b,c,d
04_00_00_p,0.001983363,0.00 ,0.05 ,0.14 ,99.82 
04_00_04_p,0.003486181,0.00 ,0.13 ,0.18 ,99.69 
04_00_10_p,0.003562163,0.00 ,0.18 ,0.14 ,99.68 
04_00_16_p,0.004146471,0.03 ,0.16 ,0.20 ,99.60 
04_00_22_p,0.005032789,0.01 ,0.27 ,0.17 ,99.54 
04_00_28_p,0.005312623,0.01 ,0.24 ,0.22 ,99.53 
04_00_34_p,0.005165129,0.02 ,0.27 ,0.20 ,99.50 
04_00_40_p,0.00515184,0.03 ,0.22 ,0.25 ,99.50 
04_00_46_p,0.003887948,0.02 ,0.13 ,0.20 ,99.65 
04_00_52_p,0.005128602,0.02 ,0.27 ,0.17 ,99.53 
04_00_58_p,0.00607721,0.02 ,0.26 ,0.28 ,99.43 
04_01_04_p,0.004280854,0.03 ,0.18 ,0.16 ,99.62 
04_01_10_p,0.003216226,0.01 ,0.17 ,0.10 ,99.72 
04_01_16_p,0.002733255,0.01 ,0.17 ,0.06 ,99.76 
04_01_22_p,0.00331277,0.02 ,0.18 ,0.11 ,99.68 
04_01_28_p,0.002507105,0.00 ,0.10 ,0.11 ,99.78 
04_01_34_p,0.001820257,0.00 ,0.06 ,0.10 ,99.84 
04_01_40_p,0.002409808,0.00 ,0.06 ,0.16 ,99.78 
04_01_46_p,0.001749604,0.02 ,0.03 ,0.10 ,99.84 
04_01_52_p,0.001149856,0.00 ,0.06 ,0.05 ,99.90 
04_01_58_p,0.001022365,0.00 ,0.07 ,0.02 ,99.91 
04_02_04_p,0.001125799,0.00 ,0.06 ,0.05 ,99.90 
04_02_10_p,0.002196344,0.01 ,0.02 ,0.16 ,99.81 
04_02_16_p,0.001226503,0.00 ,0.03 ,0.08 ,99.89 
04_02_22_p,0.001118423,0.00 ,0.01 ,0.09 ,99.90 
04_02_28_p,0.002158766,0.00 ,0.09 ,0.10 ,99.81 
04_02_34_p,0.002255832,0.00 ,0.03 ,0.18 ,99.78 
04_02_40_p,0.000485391,0.00 ,0.00 ,0.05 ,99.95 
04_02_46_p,0.001360786,0.00 ,0.02 ,0.11 ,99.86 
04_02_52_p,0.000812091,0.00 ,0.01 ,0.07 ,99.92 
04_02_58_p,0.00066422,0.00 ,0.00 ,0.06 ,99.94 
04_03_04_p,0.000563494,0.00 ,0.00 ,0.05 ,99.95 
04_03_10_p,0.000524362,0.00 ,0.00 ,0.05 ,99.95 
04_03_16_p,0.00106641,0.00 ,0.01 ,0.09 ,99.90 
04_03_22_p,0.001007395,0.01 ,0.01 ,0.09 ,99.89 
04_03_28_p,0.001179302,0.02 ,0.01 ,0.09 ,99.87 
04_03_34_p,0.001154681,0.00 ,0.01 ,0.09 ,99.90 
04_03_40_p,0.000341207,0.00 ,0.00 ,0.03 ,99.97 
04_03_46_p,0.001277561,0.00 ,0.05 ,0.10 ,99.85 
04_03_52_p,0.000590442,0.00 ,0.03 ,0.02 ,99.94 
04_03_58_p,0.000740826,0.01 ,0.02 ,0.06 ,99.91 
04_04_04_p,0.001782157,0.01 ,0.03 ,0.14 ,99.82 
04_04_10_p,0.001450206,0.00 ,0.01 ,0.16 ,99.83 
04_04_16_p,0.000491028,0.00 ,0.00 ,0.05 ,99.95 
04_04_22_p,0.001111557,0.01 ,0.01 ,0.10 ,99.87 
04_04_28_p,0.001854492,0.01 ,0.05 ,0.14 ,99.81 
04_04_34_p,0.001306895,0.00 ,0.00 ,0.14 ,99.86 
04_04_40_p,0.001350848,0.00 ,0.03 ,0.08 ,99.89 
04_04_46_p,0.000756692,0.00 ,0.01 ,0.06 ,99.93 
04_04_52_p,0.001202566,0.00 ,0.01 ,0.10 ,99.89 
04_04_58_p,0.000861651,0.02 ,0.00 ,0.07 ,99.91 
04_05_04_p,0.000479253,0.00 ,0.00 ,0.05 ,99.95 
04_05_10_p,0.001200177,0.00 ,0.03 ,0.08 ,99.89 
04_05_16_p,0.001596881,0.01 ,0.06 ,0.09 ,99.84 
04_05_22_p,0.000607506,0.00 ,0.01 ,0.05 ,99.94 
04_05_28_p,0.001088767,0.01 ,0.05 ,0.07 ,99.87 
04_05_34_p,0.000939089,0.01 ,0.02 ,0.06 ,99.91 
04_05_40_p,0.001500179,0.00 ,0.06 ,0.08 ,99.86 
04_05_46_p,0.000622669,0.00 ,0.00 ,0.06 ,99.94 
04_05_52_p,0.000499322,0.00 ,0.01 ,0.03 ,99.95 
04_05_58_p,0.000474381,0.00 ,0.03 ,0.01 ,99.95 
04_06_04_p,0.000220911,0.00 ,0.02 ,0.00 ,99.98 
04_06_10_p,0.001527395,0.01 ,0.07 ,0.07 ,99.85 
04_06_16_p,0.004347202,0.01 ,0.19 ,0.25 ,99.54 
04_06_22_p,0.007068978,0.00 ,0.30 ,0.41 ,99.29 
04_06_28_p,0.012468479,0.00 ,0.63 ,0.57 ,98.80 
04_06_34_p,0.022332738,0.02 ,0.99 ,1.09 ,97.89 
04_06_40_p,0.029677529,0.02 ,1.41 ,1.37 ,97.20 
04_06_46_p,0.03989702,0.07 ,2.06 ,1.62 ,96.25 
04_06_52_p,0.053926097,0.09 ,2.62 ,2.33 ,94.96 
04_06_58_p,0.068703052,0.07 ,3.55 ,2.89 ,93.50 
04_07_04_p,0.083628758,0.08 ,4.57 ,3.21 ,92.14 
04_07_10_p,0.094657126,0.06 ,5.40 ,3.54 ,91.00 
04_07_16_p,0.112337049,0.13 ,6.40 ,4.14 ,89.33 
04_07_22_p,0.125311379,0.15 ,6.99 ,4.85 ,88.01 
04_07_28_p,0.13772347,0.20 ,7.63 ,5.47 ,86.71 
04_07_34_p,0.145331202,0.24 ,7.98 ,5.79 ,85.99 
04_07_40_p,0.156935913,0.18 ,8.64 ,6.16 ,85.02 
