time,value,a,b,c,d
04_07_46_p,0.165015876,0.28 ,8.97 ,6.63 ,84.13 
04_07_52_p,0.171924653,0.20 ,9.40 ,7.18 ,83.22 
04_07_58_p,0.172300364,0.18 ,10.33 ,6.11 ,83.37 
04_08_04_p,0.172747385,0.31 ,9.52 ,6.92 ,83.24 
04_08_10_p,0.181711684,0.27 ,9.75 ,7.48 ,82.50 
04_08_16_p,0.177045959,0.16 ,9.96 ,6.97 ,82.91 
04_08_22_p,0.17151164,0.09 ,9.96 ,6.40 ,83.54 
04_08_28_p,0.162334883,0.23 ,9.14 ,6.13 ,84.50 
04_08_34_p,0.16141272,0.10 ,9.04 ,6.28 ,84.58 
04_08_40_p,0.149816266,0.06 ,7.81 ,6.42 ,85.72 
04_08_46_p,0.138441406,0.09 ,7.66 ,5.50 ,86.75 
04_08_52_p,0.126681738,0.15 ,6.81 ,5.25 ,87.79 
04_08_58_p,0.118123124,0.13 ,5.97 ,5.17 ,88.73 
04_09_04_p,0.103661611,0.10 ,5.28 ,4.54 ,90.07 
04_09_10_p,0.101532458,0.11 ,5.16 ,4.44 ,90.29 
04_09_16_p,0.100726561,0.10 ,5.41 ,4.18 ,90.31 
04_09_22_p,0.100890801,0.09 ,5.35 ,4.29 ,90.27 
04_09_28_p,0.100530926,0.11 ,5.44 ,4.15 ,90.29 
04_09_34_p,0.103582979,0.11 ,5.84 ,4.10 ,89.95 
04_09_40_p,0.103269024,0.10 ,5.59 ,4.33 ,89.98 
04_09_46_p,0.099150804,0.14 ,5.38 ,4.09 ,90.39 
04_09_52_p,0.093624578,0.05 ,5.21 ,3.86 ,90.88 
04_09_58_p,0.09253979,0.15 ,4.66 ,4.13 ,91.06 
04_10_04_p,0.086917612,0.10 ,4.32 ,3.96 ,91.62 
04_10_10_p,0.084242909,0.15 ,4.24 ,3.70 ,91.90 
04_10_16_p,0.085008089,0.09 ,4.22 ,3.91 ,91.78 
04_10_22_p,0.080476105,0.11 ,4.37 ,3.33 ,92.19 
04_10_28_p,0.083001592,0.08 ,4.39 ,3.54 ,91.99 
04_10_34_p,0.082561087,0.07 ,4.25 ,3.65 ,92.04 
04_10_40_p,0.083952303,0.08 ,4.23 ,3.76 ,91.93 
04_10_46_p,0.079189493,0.10 ,3.85 ,3.70 ,92.34 
04_10_52_p,0.075888938,0.15 ,3.40 ,3.74 ,92.71 
04_10_58_p,0.073449964,0.17 ,3.29 ,3.59 ,92.95 
04_11_04_p,0.065659093,0.11 ,2.79 ,3.29 ,93.80 
04_11_10_p,0.062652559,0.11 ,2.87 ,2.94 ,94.08 
04_11_16_p,0.056887117,0.11 ,2.46 ,2.83 ,94.60 
04_11_22_p,0.054593908,0.11 ,2.17 ,2.86 ,94.85 
04_11_28_p,0.049274287,0.13 ,2.05 ,2.49 ,95.33 
04_11_34_p,0.047106048,0.16 ,1.89 ,2.41 ,95.54 
04_11_40_p,0.045795488,0.18 ,1.86 ,2.36 ,95.59 
04_11_46_p,0.046012472,0.15 ,1.97 ,2.31 ,95.57 
04_11_52_p,0.045340524,0.23 ,2.12 ,2.01 ,95.64 
04_11_58_p,0.04306238,0.05 ,1.99 ,2.03 ,95.93 
04_12_04_p,0.047676509,0.02 ,1.86 ,2.66 ,95.46 
04_12_10_p,0.045836184,0.03 ,1.79 ,2.52 ,95.66 
04_12_16_p,0.040102742,0.08 ,1.81 ,1.97 ,96.14 
04_12_22_p,0.040454161,0.02 ,1.84 ,1.91 ,96.22 
04_12_28_p,0.038171227,0.05 ,1.80 ,1.75 ,96.40 
04_12_34_p,0.032303093,0.06 ,1.37 ,1.62 ,96.96 
04_12_40_p,0.034698815,0.02 ,1.47 ,1.73 ,96.78 
04_12_46_p,0.032212922,0.03 ,1.37 ,1.62 ,96.98 
04_12_52_p,0.031045653,0.06 ,1.37 ,1.49 ,97.08 
04_12_58_p,0.030739014,0.05 ,1.28 ,1.60 ,97.08 
04_13_04_p,0.033851384,0.06 ,1.23 ,1.94 ,96.77 
04_13_10_p,0.037288515,0.07 ,1.46 ,2.05 ,96.42 
04_13_16_p,0.039623995,0.07 ,1.45 ,2.29 ,96.19 
04_13_22_p,0.044646057,0.07 ,1.48 ,2.71 ,95.73 
04_13_28_p,0.045528466,0.08 ,1.42 ,2.91 ,95.59 
04_13_34_p,0.053900976,0.07 ,1.84 ,3.25 ,94.84 
04_13_40_p,0.056618579,0.11 ,2.12 ,3.19 ,94.57 
04_13_46_p,0.060602382,0.07 ,2.39 ,3.30 ,94.25 
04_13_52_p,0.064959182,0.05 ,2.65 ,3.47 ,93.84 
04_13_58_p,0.063950143,0.09 ,2.43 ,3.60 ,93.88 
04_14_04_p,0.066745258,0.05 ,2.34 ,3.94 ,93.67 
04_14_10_p,0.067402114,0.07 ,2.51 ,3.86 ,93.56 
04_14_16_p,0.067869632,0.08 ,2.63 ,3.80 ,93.49 
04_14_22_p,0.06629468,0.05 ,2.93 ,3.38 ,93.64 
04_14_28_p,0.064803976,0.06 ,2.89 ,3.37 ,93.69 
04_14_34_p,0.065233532,0.07 ,2.69 ,3.52 ,93.72 
04_14_40_p,0.061452108,0.03 ,2.78 ,3.03 ,94.15 
04_14_46_p,0.063059539,0.08 ,2.72 ,3.26 ,93.93 
04_14_52_p,0.064575104,0.08 ,2.45 ,3.59 ,93.88 
04_14_58_p,0.066535716,0.05 ,2.77 ,3.45 ,93.73 
04_15_04_p,0.062273016,0.06 ,2.84 ,3.03 ,94.07 
04_15_10_p,0.057888888,0.13 ,2.36 ,3.07 ,94.44 
04_15_16_p,0.061612342,0.16 ,2.50 ,3.26 ,94.08 
04_15_22_p,0.059830656,0.10 ,2.33 ,3.35 ,94.22 
04_15_28_p,0.061553401,0.11 ,2.69 ,3.09 ,94.10 
04_15_34_p,0.064767759,0.08 ,2.89 ,3.28 ,93.75 
04_15_40_p,0.066133732,0.11 ,2.92 ,3.34 ,93.62 
04_15_46_p,0.068225066,0.14 ,2.47 ,3.89 ,93.50 
04_15_52_p,0.065282763,0.09 ,2.73 ,3.44 ,93.74 
04_15_58_p,0.068963562,0.03 ,3.09 ,3.50 ,93.38 
04_16_04_p,0.070794239,0.09 ,3.45 ,3.28 ,93.18 
04_16_10_p,0.072420662,0.05 ,3.40 ,3.57 ,92.98 
04_16_16_p,0.072439774,0.06 ,3.41 ,3.58 ,92.96 
04_16_22_p,0.0837319,0.09 ,4.01 ,4.05 ,91.85 
04_16_28_p,0.085247025,0.16 ,4.01 ,4.07 ,91.76 
04_16_34_p,0.084461358,0.07 ,4.18 ,3.92 ,91.83 
04_16_40_p,0.089619838,0.11 ,4.30 ,4.35 ,91.23 
04_16_46_p,0.100529307,0.16 ,4.65 ,4.92 ,90.27 
04_16_52_p,0.107157016,0.13 ,5.31 ,4.98 ,89.58 
04_16_58_p,0.114397771,0.20 ,5.61 ,5.23 ,88.96 
04_17_04_p,0.123950085,0.15 ,6.25 ,5.60 ,88.00 
04_17_10_p,0.135030464,0.15 ,7.10 ,5.89 ,86.86 
04_17_16_p,0.149966169,0.23 ,8.01 ,6.51 ,85.25 
04_17_22_p,0.16015191,0.27 ,8.85 ,6.74 ,84.14 
04_17_28_p,0.171728366,0.19 ,10.04 ,6.84 ,82.93 
04_17_34_p,0.172813033,0.14 ,9.70 ,7.16 ,83.00 
04_17_40_p,0.179356703,0.22 ,10.74 ,6.77 ,82.27 
04_17_46_p,0.181760557,0.15 ,10.84 ,6.99 ,82.02 
04_17_52_p,0.191445166,0.14 ,11.99 ,6.74 ,81.13 
04_17_58_p,0.190709021,0.22 ,11.58 ,7.02 ,81.18 
04_18_04_p,0.192344346,0.26 ,11.80 ,6.87 ,81.08 
04_18_10_p,0.178564646,0.24 ,11.09 ,6.27 ,82.39 
04_18_16_p,0.173685002,0.22 ,10.01 ,6.95 ,82.82 
04_18_22_p,0.171520775,0.28 ,10.66 ,5.94 ,83.12 
04_18_28_p,0.164783066,0.29 ,9.98 ,5.99 ,83.75 
04_18_34_p,0.157355611,0.21 ,9.69 ,5.61 ,84.49 
04_18_40_p,0.146718384,0.16 ,8.79 ,5.51 ,85.54 
04_18_46_p,0.144865951,0.13 ,8.97 ,5.00 ,85.91 
04_18_52_p,0.132862435,0.13 ,7.86 ,5.00 ,87.02 
04_18_58_p,0.119178998,0.24 ,7.28 ,4.11 ,88.37 
04_19_04_p,0.107844124,0.10 ,6.65 ,3.85 ,89.40 
04_19_10_p,0.096163777,0.06 ,5.80 ,3.50 ,90.65 
04_19_16_p,0.091432844,0.14 ,5.29 ,3.37 ,91.20 
04_19_22_p,0.081689996,0.06 ,4.42 ,3.38 ,92.14 
04_19_28_p,0.075668608,0.09 ,4.04 ,3.17 ,92.69 
04_19_34_p,0.069074416,0.02 ,3.79 ,2.86 ,93.33 
04_19_40_p,0.060248805,0.07 ,3.13 ,2.59 ,94.22 
04_19_46_p,0.053119783,0.01 ,2.56 ,2.51 ,94.92 
04_19_52_p,0.043108838,0.03 ,1.92 ,2.17 ,95.88 
04_19_58_p,0.039486225,0.05 ,1.79 ,1.97 ,96.19 
04_20_04_p,0.035435843,0.05 ,1.36 ,2.02 ,96.58 
04_20_10_p,0.034498589,0.02 ,1.59 ,1.58 ,96.80 
04_20_16_p,0.034377512,0.02 ,1.70 ,1.54 ,96.74 
04_20_22_p,0.037311525,0.05 ,1.62 ,1.88 ,96.46 
04_20_28_p,0.040293266,0.00 ,1.77 ,2.04 ,96.19 
04_20_34_p,0.041815964,0.02 ,1.71 ,2.24 ,96.02 
04_20_40_p,0.042579186,0.05 ,1.77 ,2.26 ,95.93 
04_20_46_p,0.036765855,0.05 ,1.35 ,2.12 ,96.49 
04_20_52_p,0.035541583,0.02 ,1.41 ,1.95 ,96.62 
04_20_58_p,0.032383325,0.01 ,1.29 ,1.81 ,96.89 
04_21_04_p,0.030292487,0.05 ,1.05 ,1.82 ,97.08 
04_21_10_p,0.023058695,0.03 ,0.60 ,1.61 ,97.76 
04_21_16_p,0.019172644,0.02 ,0.66 ,1.16 ,98.15 
04_21_22_p,0.019961022,0.02 ,0.70 ,1.28 ,98.00 
04_21_28_p,0.022738341,0.07 ,0.71 ,1.41 ,97.81 
04_21_34_p,0.021735594,0.05 ,0.56 ,1.46 ,97.94 
04_21_40_p,0.019324181,0.03 ,0.55 ,1.23 ,98.19 
04_21_46_p,0.019415934,0.03 ,0.69 ,1.10 ,98.17 
04_21_52_p,0.018538134,0.02 ,0.63 ,1.10 ,98.25 
04_21_58_p,0.017891479,0.02 ,0.66 ,1.02 ,98.29 
04_22_04_p,0.016774145,0.03 ,0.57 ,0.99 ,98.40 
04_22_10_p,0.013470539,0.02 ,0.54 ,0.73 ,98.71 
04_22_16_p,0.013701039,0.02 ,0.44 ,0.82 ,98.71 
04_22_22_p,0.012378239,0.03 ,0.44 ,0.66 ,98.86 
04_22_28_p,0.010628435,0.03 ,0.35 ,0.64 ,98.98 
04_22_34_p,0.010588381,0.02 ,0.47 ,0.51 ,99.00 
04_22_40_p,0.00848672,0.02 ,0.28 ,0.51 ,99.18 
04_22_46_p,0.005131703,0.01 ,0.24 ,0.24 ,99.51 
04_22_52_p,0.005307911,0.02 ,0.26 ,0.22 ,99.50 
04_22_58_p,0.004559276,0.00 ,0.18 ,0.24 ,99.58 
04_23_04_p,0.004567984,0.00 ,0.11 ,0.30 ,99.59 
04_23_10_p,0.003949799,0.01 ,0.09 ,0.26 ,99.64 
04_23_16_p,0.002210684,0.00 ,0.11 ,0.10 ,99.78 
04_23_22_p,0.002403392,0.01 ,0.08 ,0.16 ,99.75 
04_23_28_p,0.001298619,0.00 ,0.03 ,0.09 ,99.87 
04_23_34_p,0.001513485,0.01 ,0.03 ,0.11 ,99.84 
04_23_40_p,0.000983642,0.00 ,0.02 ,0.07 ,99.91 
04_23_46_p,0.000710543,0.00 ,0.03 ,0.03 ,99.93 
04_23_52_p,0.000871137,0.00 ,0.03 ,0.05 ,99.92 
05_00_00_p,0.001172101,0.00 ,0.08 ,0.02 ,99.90 
