time,value,a,b,c,d
01_03_18_p,0.004056,0.00 ,0.16 ,0.23 ,99.61 
01_03_24_p,0.002692,0.01 ,0.14 ,0.11 ,99.74 
01_03_30_p,0.002086,0.00 ,0.13 ,0.07 ,99.81 
01_03_36_p,0.002524,0.00 ,0.14 ,0.10 ,99.76 
01_03_42_p,0.002479,0.00 ,0.15 ,0.09 ,99.76 
01_03_48_p,0.002614,0.01 ,0.11 ,0.13 ,99.75 
01_03_54_p,0.003109,0.00 ,0.15 ,0.15 ,99.70 
01_04_00_p,0.002703,0.01 ,0.14 ,0.13 ,99.73 
01_04_06_p,0.001633,0.00 ,0.08 ,0.08 ,99.84 
01_04_12_p,0.002635,0.02 ,0.07 ,0.16 ,99.75 
01_04_18_p,0.001925,0.00 ,0.13 ,0.08 ,99.80 
01_04_24_p,0.001857,0.00 ,0.08 ,0.10 ,99.82 
01_04_30_p,0.001171,0.00 ,0.06 ,0.06 ,99.89 
01_04_36_p,0.000261,0.00 ,0.01 ,0.01 ,99.98 
01_04_42_p,0.000636,0.00 ,0.01 ,0.05 ,99.94 
01_04_48_p,0.000633,0.00 ,0.02 ,0.03 ,99.94 
01_04_54_p,0.000898,0.00 ,0.03 ,0.05 ,99.92 
01_05_00_p,0.000487,0.00 ,0.02 ,0.02 ,99.95 
01_05_06_p,0.000721,0.00 ,0.01 ,0.06 ,99.93 
01_05_12_p,0.000191,0.00 ,0.00 ,0.02 ,99.98 
01_05_18_p,0,0.00 ,0.00 ,0.00 ,100.00 
01_05_24_p,0.000234,0.00 ,0.00 ,0.02 ,99.98 
01_05_30_p,0.000121,0.00 ,0.00 ,0.01 ,99.99 
01_05_36_p,0.000099,0.00 ,0.00 ,0.01 ,99.99 
01_05_42_p,0.000134,0.00 ,0.00 ,0.01 ,99.99 
01_05_48_p,0,0.00 ,0.00 ,0.00 ,100.00 
01_05_54_p,0.00036,0.00 ,0.00 ,0.03 ,99.97 
01_06_00_p,0.000107,0.00 ,0.00 ,0.01 ,99.99 
01_06_06_p,0.000286,0.00 ,0.00 ,0.03 ,99.97 
01_06_12_p,0.00039,0.00 ,0.00 ,0.05 ,99.95 
01_06_18_p,0.00039,0.00 ,0.00 ,0.05 ,99.95 
01_06_24_p,0.000597,0.00 ,0.00 ,0.06 ,99.94 
01_06_30_p,0.000312,0.00 ,0.02 ,0.01 ,99.97 
01_06_36_p,0.000312,0.00 ,0.01 ,0.02 ,99.97 
01_06_42_p,0.000312,0.00 ,0.01 ,0.02 ,99.97 
01_06_48_p,0.00036,0.00 ,0.02 ,0.02 ,99.95 
01_06_54_p,0.000312,0.00 ,0.02 ,0.01 ,99.97 
01_07_00_p,0.000312,0.00 ,0.01 ,0.02 ,99.97 
01_07_06_p,0.000261,0.00 ,0.02 ,0.01 ,99.97 
01_07_12_p,0.000312,0.00 ,0.02 ,0.02 ,99.95 
01_07_18_p,0.000121,0.00 ,0.00 ,0.01 ,99.99 
01_07_24_p,0.000474,0.00 ,0.03 ,0.02 ,99.94 
01_07_30_p,0.00029,0.00 ,0.03 ,0.00 ,99.97 
01_07_36_p,0.000663,0.00 ,0.06 ,0.01 ,99.93 
01_07_42_p,0,0.00 ,0.00 ,0.00 ,100.00 
01_07_48_p,0.000809,0.00 ,0.02 ,0.06 ,99.92 
01_07_54_p,0.000973,0.00 ,0.01 ,0.08 ,99.91 
01_08_00_p,0.001947,0.00 ,0.08 ,0.11 ,99.81 
01_08_06_p,0.002707,0.01 ,0.09 ,0.22 ,99.68 
01_08_12_p,0.003771,0.00 ,0.15 ,0.22 ,99.64 
01_08_18_p,0.005965,0.01 ,0.30 ,0.27 ,99.42 
01_08_24_p,0.00696,0.00 ,0.34 ,0.33 ,99.33 
01_08_30_p,0.006228,0.01 ,0.25 ,0.35 ,99.39 
01_08_36_p,0.00776,0.00 ,0.28 ,0.44 ,99.27 
01_08_42_p,0.009897,0.01 ,0.47 ,0.49 ,99.03 
01_08_48_p,0.011484,0.01 ,0.52 ,0.63 ,98.84 
01_08_54_p,0.01101,0.01 ,0.43 ,0.66 ,98.90 
01_09_00_p,0.010203,0.02 ,0.41 ,0.59 ,98.98 
01_09_06_p,0.008958,0.01 ,0.34 ,0.52 ,99.12 
01_09_12_p,0.010186,0.02 ,0.42 ,0.53 ,99.02 
01_09_18_p,0.012112,0.02 ,0.60 ,0.60 ,98.77 
01_09_24_p,0.014835,0.01 ,0.55 ,0.95 ,98.50 
01_09_30_p,0.017736,0.02 ,0.67 ,1.09 ,98.21 
01_09_36_p,0.020738,0.06 ,0.87 ,1.13 ,97.95 
01_09_42_p,0.025795,0.02 ,0.97 ,1.50 ,97.51 
01_09_48_p,0.032527,0.06 ,1.15 ,1.97 ,96.82 
01_09_54_p,0.035986,0.06 ,1.34 ,2.07 ,96.53 
01_10_00_p,0.038371,0.07 ,1.64 ,2.04 ,96.25 
01_10_06_p,0.037405,0.05 ,1.36 ,2.17 ,96.43 
01_10_12_p,0.040673,0.06 ,1.63 ,2.23 ,96.08 
01_10_18_p,0.045144,0.10 ,1.72 ,2.60 ,95.57 
01_10_24_p,0.051277,0.10 ,2.15 ,2.81 ,94.94 
01_10_30_p,0.056748,0.02 ,2.29 ,3.24 ,94.45 
01_10_36_p,0.056919,0.07 ,2.24 ,3.24 ,94.45 
01_10_42_p,0.058689,0.10 ,2.17 ,3.35 ,94.38 
01_10_48_p,0.065459,0.13 ,2.43 ,3.72 ,93.72 
01_10_54_p,0.066139,0.10 ,2.41 ,3.81 ,93.68 
01_11_00_p,0.067545,0.09 ,2.45 ,3.90 ,93.56 
01_11_06_p,0.065886,0.06 ,2.39 ,3.77 ,93.78 
01_11_12_p,0.06714,0.06 ,2.34 ,4.00 ,93.60 
01_11_18_p,0.066747,0.06 ,2.25 ,4.07 ,93.63 
01_11_24_p,0.068314,0.13 ,2.60 ,3.83 ,93.44 
01_11_30_p,0.069834,0.15 ,2.49 ,4.09 ,93.28 
01_11_36_p,0.06416,0.14 ,2.55 ,3.49 ,93.82 
01_11_42_p,0.06266,0.10 ,2.41 ,3.61 ,93.88 
01_11_48_p,0.058353,0.07 ,1.93 ,3.68 ,94.33 
01_11_54_p,0.054911,0.07 ,1.85 ,3.39 ,94.70 
01_12_00_p,0.051489,0.02 ,1.84 ,3.13 ,95.01 
01_12_06_p,0.046494,0.05 ,1.73 ,2.78 ,95.44 
01_12_12_p,0.042655,0.03 ,1.63 ,2.53 ,95.80 
01_12_18_p,0.041374,0.02 ,1.36 ,2.60 ,96.02 
01_12_24_p,0.040737,0.03 ,1.46 ,2.46 ,96.04 
01_12_30_p,0.043753,0.02 ,1.46 ,2.69 ,95.83 
01_12_36_p,0.045569,0.07 ,1.46 ,2.84 ,95.63 
01_12_41_p,0.048279,0.07 ,1.65 ,2.92 ,95.36 
01_12_47_p,0.051665,0.07 ,1.69 ,3.22 ,95.03 
01_12_53_p,0.052049,0.08 ,1.78 ,3.16 ,94.98 
01_12_59_p,0.052732,0.09 ,1.77 ,3.32 ,94.82 
01_13_05_p,0.055262,0.05 ,2.09 ,3.29 ,94.58 
01_13_11_p,0.062241,0.10 ,2.29 ,3.58 ,94.02 
01_13_17_p,0.060786,0.08 ,2.44 ,3.39 ,94.09 
01_13_23_p,0.068254,0.10 ,2.60 ,3.94 ,93.36 
01_13_29_p,0.073897,0.07 ,2.65 ,4.46 ,92.82 
01_13_35_p,0.081444,0.14 ,3.09 ,4.62 ,92.14 
01_13_41_p,0.092537,0.10 ,3.59 ,5.20 ,91.11 
01_13_47_p,0.088382,0.08 ,3.72 ,4.66 ,91.54 
01_13_53_p,0.095816,0.08 ,4.10 ,5.03 ,90.79 
01_13_59_p,0.092684,0.15 ,4.21 ,4.64 ,91.00 
01_14_05_p,0.095008,0.13 ,4.37 ,4.72 ,90.78 
01_14_11_p,0.10087,0.15 ,4.74 ,4.87 ,90.24 
01_14_17_p,0.106797,0.07 ,4.51 ,5.77 ,89.65 
01_14_23_p,0.111784,0.18 ,4.81 ,5.81 ,89.19 
01_14_29_p,0.113325,0.13 ,5.29 ,5.49 ,89.10 
01_14_35_p,0.117127,0.13 ,5.76 ,5.41 ,88.71 
01_14_41_p,0.122409,0.10 ,5.93 ,5.83 ,88.14 
01_14_47_p,0.123425,0.10 ,6.03 ,5.76 ,88.11 
01_14_53_p,0.12693,0.11 ,5.97 ,6.39 ,87.52 
01_14_59_p,0.128281,0.15 ,5.78 ,6.61 ,87.46 
01_15_05_p,0.125905,0.19 ,5.83 ,6.23 ,87.74 
01_15_11_p,0.130364,0.19 ,6.08 ,6.34 ,87.38 
01_15_17_p,0.128509,0.14 ,6.19 ,6.14 ,87.53 
01_15_23_p,0.135974,0.19 ,6.62 ,6.30 ,86.89 
01_15_29_p,0.141597,0.15 ,6.75 ,6.74 ,86.36 
01_15_35_p,0.145759,0.13 ,6.87 ,7.09 ,85.92 
01_15_41_p,0.147473,0.11 ,7.03 ,7.07 ,85.79 
01_15_47_p,0.14772,0.15 ,6.78 ,7.32 ,85.76 
01_15_53_p,0.143081,0.08 ,6.61 ,7.13 ,86.18 
01_15_59_p,0.144276,0.17 ,6.74 ,6.98 ,86.12 
01_16_05_p,0.140367,0.09 ,7.09 ,6.39 ,86.43 
01_16_11_p,0.145729,0.16 ,6.89 ,6.99 ,85.95 
01_16_17_p,0.146338,0.24 ,6.88 ,7.11 ,85.76 
01_16_23_p,0.150564,0.23 ,7.36 ,6.89 ,85.52 
01_16_29_p,0.151868,0.14 ,7.35 ,7.12 ,85.40 
01_16_35_p,0.152668,0.21 ,7.10 ,7.46 ,85.23 
01_16_41_p,0.153419,0.17 ,7.20 ,7.43 ,85.20 
01_16_47_p,0.15639,0.25 ,7.94 ,6.90 ,84.91 
01_16_53_p,0.1619,0.25 ,8.37 ,7.04 ,84.34 
01_16_59_p,0.164762,0.17 ,9.12 ,6.66 ,84.05 
01_17_05_p,0.166024,0.23 ,8.88 ,6.95 ,83.93 
01_17_11_p,0.163456,0.18 ,8.75 ,6.88 ,84.18 
01_17_17_p,0.167004,0.11 ,9.04 ,7.00 ,83.84 
01_17_23_p,0.169915,0.20 ,8.76 ,7.57 ,83.47 
01_17_29_p,0.179538,0.18 ,9.60 ,7.67 ,82.55 
01_17_35_p,0.179883,0.16 ,9.80 ,7.38 ,82.67 
01_17_41_p,0.176658,0.10 ,10.02 ,7.10 ,82.78 
01_17_47_p,0.176168,0.22 ,9.51 ,7.40 ,82.87 
01_17_53_p,0.17135,0.17 ,9.40 ,7.22 ,83.21 
01_17_59_p,0.162888,0.15 ,8.70 ,6.90 ,84.26 
01_18_05_p,0.153326,0.10 ,8.11 ,6.64 ,85.14 
01_18_11_p,0.145607,0.10 ,7.68 ,6.28 ,85.94 
01_18_17_p,0.137152,0.10 ,7.13 ,6.01 ,86.76 
01_18_23_p,0.131508,0.13 ,6.71 ,5.90 ,87.27 
01_18_29_p,0.123678,0.14 ,5.93 ,5.88 ,88.05 
01_18_35_p,0.117451,0.07 ,5.41 ,5.87 ,88.64 
01_18_41_p,0.10421,0.11 ,4.55 ,5.42 ,89.91 
01_18_47_p,0.098381,0.16 ,4.61 ,4.80 ,90.43 
01_18_53_p,0.085543,0.06 ,3.76 ,4.49 ,91.70 
01_18_59_p,0.080731,0.10 ,3.21 ,4.51 ,92.18 
01_19_05_p,0.073601,0.06 ,2.87 ,4.24 ,92.84 
01_19_11_p,0.067501,0.06 ,2.56 ,3.91 ,93.47 
01_19_17_p,0.064612,0.07 ,2.11 ,3.93 ,93.89 
01_19_23_p,0.055174,0.06 ,1.74 ,3.53 ,94.68 
01_19_29_p,0.049447,0.05 ,1.68 ,2.98 ,95.29 
01_19_35_p,0.048721,0.07 ,1.60 ,3.00 ,95.33 
01_19_41_p,0.04231,0.10 ,1.46 ,2.44 ,95.99 
01_19_47_p,0.038088,0.05 ,1.31 ,2.22 ,96.42 
01_19_53_p,0.038828,0.03 ,1.22 ,2.44 ,96.31 
01_19_59_p,0.036731,0.08 ,1.12 ,2.31 ,96.49 
01_20_05_p,0.030172,0.06 ,0.98 ,1.82 ,97.14 
01_20_11_p,0.03144,0.03 ,1.09 ,1.84 ,97.03 
01_20_17_p,0.032263,0.06 ,1.00 ,2.05 ,96.89 
01_20_23_p,0.033419,0.06 ,1.01 ,2.15 ,96.78 
01_20_29_p,0.027563,0.05 ,0.89 ,1.71 ,97.36 
01_20_35_p,0.026257,0.05 ,0.78 ,1.69 ,97.49 
01_20_41_p,0.024828,0.02 ,0.76 ,1.59 ,97.63 
01_20_47_p,0.025049,0.06 ,0.84 ,1.47 ,97.63 
01_20_53_p,0.025043,0.03 ,0.85 ,1.46 ,97.65 
01_20_59_p,0.023259,0.01 ,0.73 ,1.44 ,97.82 
01_21_05_p,0.020494,0.01 ,0.66 ,1.24 ,98.09 
01_21_11_p,0.015799,0.00 ,0.41 ,1.07 ,98.52 
01_21_17_p,0.012981,0.01 ,0.27 ,0.93 ,98.78 
01_21_23_p,0.010597,0.02 ,0.30 ,0.69 ,98.99 
01_21_29_p,0.009876,0.00 ,0.22 ,0.73 ,99.06 
01_21_35_p,0.008041,0.00 ,0.22 ,0.56 ,99.23 
01_21_41_p,0.0069,0.01 ,0.22 ,0.44 ,99.33 
01_21_47_p,0.00482,0.00 ,0.17 ,0.30 ,99.53 
01_21_53_p,0.005318,0.01 ,0.22 ,0.31 ,99.47 
01_21_59_p,0.005381,0.00 ,0.17 ,0.35 ,99.48 
01_22_05_p,0.006159,0.02 ,0.20 ,0.36 ,99.41 
01_22_11_p,0.00465,0.00 ,0.30 ,0.17 ,99.53 
01_22_17_p,0.003621,0.01 ,0.14 ,0.23 ,99.62 
01_22_23_p,0.002462,0.01 ,0.07 ,0.17 ,99.75 
01_22_29_p,0.001905,0.00 ,0.11 ,0.08 ,99.81 
01_22_35_p,0.002329,0.02 ,0.09 ,0.13 ,99.76 
01_22_41_p,0.001776,0.00 ,0.08 ,0.10 ,99.82 
01_22_47_p,0.00187,0.00 ,0.06 ,0.11 ,99.83 
01_22_53_p,0.001228,0.00 ,0.06 ,0.07 ,99.87 
01_22_59_p,0.001801,0.02 ,0.06 ,0.10 ,99.82 
01_23_05_p,0.001275,0.00 ,0.06 ,0.06 ,99.89 
01_23_11_p,0.002029,0.02 ,0.07 ,0.09 ,99.82 
01_23_17_p,0.002265,0.01 ,0.07 ,0.13 ,99.80 
01_23_23_p,0.001346,0.01 ,0.05 ,0.07 ,99.87 
01_23_29_p,0.000274,0.00 ,0.01 ,0.02 ,99.97 
01_23_35_p,0.000392,0.00 ,0.02 ,0.03 ,99.94 
01_23_41_p,0.000746,0.01 ,0.01 ,0.07 ,99.91 
01_23_47_p,0.00082,0.00 ,0.02 ,0.05 ,99.93 
01_23_53_p,0.001154,0.00 ,0.01 ,0.09 ,99.90 
02_00_00_p,0.001449,0.00 ,0.03 ,0.09 ,99.87 
