time,value,a,b,c,d
01_00_00_p,0.001685,0.00 ,0.05 ,0.10 ,99.85 
01_00_06_p,0.002238,0.00 ,0.08 ,0.13 ,99.80 
01_00_12_p,0.003137,0.00 ,0.10 ,0.19 ,99.70 
01_00_18_p,0.004338,0.01 ,0.19 ,0.22 ,99.58 
01_00_24_p,0.005295,0.03 ,0.25 ,0.30 ,99.42 
01_00_30_p,0.004287,0.01 ,0.22 ,0.21 ,99.57 
01_00_36_p,0.005208,0.00 ,0.20 ,0.31 ,99.49 
01_00_42_p,0.005949,0.00 ,0.27 ,0.32 ,99.41 
01_00_48_p,0.006951,0.01 ,0.38 ,0.30 ,99.32 
01_00_54_p,0.004243,0.01 ,0.16 ,0.23 ,99.60 
01_01_00_p,0.005357,0.00 ,0.22 ,0.31 ,99.48 
01_01_06_p,0.004289,0.03 ,0.18 ,0.18 ,99.60 
01_01_12_p,0.004427,0.05 ,0.16 ,0.19 ,99.60 
01_01_18_p,0.003486,0.02 ,0.14 ,0.17 ,99.67 
01_01_24_p,0.003785,0.03 ,0.15 ,0.17 ,99.65 
01_01_30_p,0.003632,0.02 ,0.17 ,0.15 ,99.66 
01_01_36_p,0.003115,0.01 ,0.09 ,0.19 ,99.70 
01_01_42_p,0.0024,0.00 ,0.17 ,0.08 ,99.75 
01_01_48_p,0.003239,0.01 ,0.15 ,0.15 ,99.69 
01_01_54_p,0.002689,0.01 ,0.13 ,0.14 ,99.73 
01_02_00_p,0.003118,0.01 ,0.18 ,0.14 ,99.67 
01_02_06_p,0.002233,0.02 ,0.13 ,0.09 ,99.76 
01_02_12_p,0.002987,0.01 ,0.18 ,0.10 ,99.70 
01_02_18_p,0.003363,0.00 ,0.15 ,0.17 ,99.68 
01_02_24_p,0.002358,0.01 ,0.08 ,0.14 ,99.77 
01_02_30_p,0.003623,0.00 ,0.26 ,0.10 ,99.64 
01_02_36_p,0.002831,0.01 ,0.19 ,0.08 ,99.72 
01_02_42_p,0.002778,0.03 ,0.10 ,0.15 ,99.72 
01_02_48_p,0.001899,0.02 ,0.03 ,0.13 ,99.82 
01_02_54_p,0.002104,0.03 ,0.09 ,0.11 ,99.76 
01_03_00_p,0.002344,0.02 ,0.08 ,0.15 ,99.75 
01_03_06_p,0.00324,0.00 ,0.18 ,0.14 ,99.68 
01_03_12_p,0.004087,0.00 ,0.20 ,0.19 ,99.60 
