time,value,a,b,c,d
06_22_10_p,0.046967455,0.09 ,2.24 ,2.17 ,95.50 
06_22_16_p,0.041113758,0.08 ,2.12 ,1.76 ,96.04 
06_22_22_p,0.039421668,0.07 ,2.15 ,1.65 ,96.13 
06_22_28_p,0.037959847,0.08 ,1.83 ,1.72 ,96.38 
06_22_34_p,0.038105209,0.05 ,1.62 ,2.01 ,96.32 
06_22_40_p,0.032676371,0.09 ,1.53 ,1.54 ,96.84 
06_22_46_p,0.032289777,0.05 ,1.65 ,1.44 ,96.86 
06_22_52_p,0.0287862,0.01 ,1.49 ,1.23 ,97.27 
06_22_58_p,0.007856929,0.01 ,0.20 ,0.49 ,99.29 
06_23_04_p,0.005037647,0.00 ,0.11 ,0.34 ,99.54 
06_23_10_p,0.004076247,0.01 ,0.15 ,0.23 ,99.61 
06_23_16_p,0.002803814,0.00 ,0.09 ,0.17 ,99.74 
06_23_22_p,0.001219374,0.00 ,0.03 ,0.08 ,99.89 
06_23_28_p,0.001061494,0.00 ,0.03 ,0.08 ,99.89 
06_23_34_p,0.000973795,0.00 ,0.07 ,0.03 ,99.90 
06_23_40_p,0.001872735,0.00 ,0.09 ,0.09 ,99.82 
06_23_46_p,0.00112679,0.00 ,0.05 ,0.06 ,99.90 
06_23_52_p,0.001617088,0.00 ,0.02 ,0.14 ,99.84 
07_00_00_p,0.001844335,0.00 ,0.10 ,0.07 ,99.83 
