time,value,a,b,c,d
02_13_05_p,0.016799206,0.02 ,0.38 ,1.16 ,98.44 
02_13_11_p,0.018573653,0.05 ,0.48 ,1.25 ,98.22 
02_13_17_p,0.020254099,0.00 ,0.52 ,1.39 ,98.09 
02_13_23_p,0.021950976,0.05 ,0.63 ,1.42 ,97.90 
02_13_29_p,0.02579601,0.05 ,0.64 ,1.78 ,97.54 
02_13_35_p,0.027143113,0.01 ,0.87 ,1.71 ,97.41 
02_13_41_p,0.032738216,0.03 ,1.04 ,2.06 ,96.86 
02_13_47_p,0.034534554,0.03 ,1.06 ,2.13 ,96.77 
02_13_53_p,0.032842268,0.03 ,1.08 ,2.05 ,96.83 
02_13_59_p,0.04052972,0.01 ,1.34 ,2.51 ,96.14 
02_14_05_p,0.039105499,0.01 ,1.23 ,2.45 ,96.31 
02_14_11_p,0.037791937,0.03 ,1.26 ,2.29 ,96.41 
02_14_17_p,0.038196042,0.07 ,1.45 ,2.16 ,96.32 
02_14_23_p,0.038350993,0.02 ,1.47 ,2.17 ,96.34 
02_14_29_p,0.037760589,0.01 ,1.80 ,1.87 ,96.32 
02_14_35_p,0.040107342,0.06 ,1.60 ,2.22 ,96.13 
02_14_41_p,0.04090287,0.07 ,1.58 ,2.31 ,96.03 
02_14_47_p,0.039215217,0.08 ,1.58 ,2.06 ,96.27 
02_14_53_p,0.03889319,0.03 ,1.61 ,2.12 ,96.24 
02_14_59_p,0.038772882,0.05 ,1.55 ,2.13 ,96.28 
02_15_05_p,0.03788463,0.03 ,1.53 ,2.11 ,96.33 
02_15_11_p,0.038890914,0.05 ,1.70 ,2.05 ,96.21 
02_15_17_p,0.037785859,0.06 ,1.48 ,2.12 ,96.34 
02_15_23_p,0.036724525,0.05 ,1.44 ,2.12 ,96.40 
02_15_29_p,0.03689256,0.06 ,1.45 ,2.07 ,96.42 
02_15_35_p,0.041141107,0.03 ,1.49 ,2.47 ,96.00 
02_15_41_p,0.042754734,0.05 ,1.46 ,2.63 ,95.86 
02_15_47_p,0.049063217,0.03 ,1.62 ,3.04 ,95.30 
02_15_53_p,0.05121448,0.01 ,1.71 ,3.16 ,95.12 
02_15_59_p,0.051742478,0.10 ,1.85 ,2.94 ,95.10 
02_16_05_p,0.051450789,0.03 ,2.09 ,2.70 ,95.18 
02_16_11_p,0.048434441,0.05 ,1.85 ,2.67 ,95.44 
02_16_17_p,0.04805435,0.06 ,1.92 ,2.51 ,95.51 
02_16_23_p,0.051008653,0.07 ,2.02 ,2.79 ,95.12 
02_16_29_p,0.054391476,0.07 ,2.22 ,2.99 ,94.72 
02_16_35_p,0.060573693,0.06 ,2.61 ,3.17 ,94.16 
02_16_41_p,0.061654254,0.06 ,2.67 ,3.26 ,94.01 
02_16_47_p,0.067461326,0.05 ,3.09 ,3.33 ,93.53 
02_16_53_p,0.076806089,0.10 ,3.38 ,3.82 ,92.70 
02_16_59_p,0.079956005,0.11 ,3.62 ,3.93 ,92.34 
02_17_05_p,0.094284275,0.11 ,4.20 ,4.69 ,90.99 
02_17_10_p,0.103458995,0.18 ,5.07 ,4.68 ,90.06 
02_17_16_p,0.126235749,0.17 ,6.70 ,5.43 ,87.69 
02_17_22_p,0.139134647,0.18 ,7.43 ,6.10 ,86.28 
02_17_28_p,0.147404325,0.15 ,7.54 ,6.69 ,85.61 
02_17_34_p,0.153057826,0.16 ,8.51 ,6.32 ,85.01 
02_17_40_p,0.161781693,0.15 ,9.20 ,6.55 ,84.11 
02_17_46_p,0.169670211,0.15 ,9.40 ,6.88 ,83.57 
02_17_52_p,0.177361116,0.15 ,10.09 ,7.05 ,82.71 
02_17_58_p,0.171956394,0.15 ,10.10 ,6.56 ,83.18 
02_18_04_p,0.170633811,0.17 ,9.97 ,6.47 ,83.39 
02_18_10_p,0.162485637,0.18 ,9.58 ,6.23 ,84.01 
02_18_16_p,0.151643513,0.16 ,8.70 ,5.90 ,85.24 
02_18_22_p,0.148098246,0.14 ,8.46 ,5.90 ,85.51 
02_18_29_p,0.139808961,0.13 ,8.14 ,5.43 ,86.30 
02_18_35_p,0.125073912,0.20 ,7.12 ,4.88 ,87.81 
02_18_41_p,0.118423627,0.17 ,6.73 ,4.59 ,88.51 
02_18_47_p,0.111321079,0.09 ,6.24 ,4.47 ,89.20 
02_18_53_p,0.107718245,0.10 ,6.12 ,4.17 ,89.61 
02_18_59_p,0.103130721,0.14 ,5.48 ,4.42 ,89.96 
02_19_05_p,0.086749015,0.13 ,4.10 ,4.15 ,91.62 
02_19_11_p,0.072227674,0.13 ,3.81 ,3.04 ,93.03 
02_19_17_p,0.062327157,0.05 ,3.36 ,2.60 ,94.00 
02_19_23_p,0.055373443,0.05 ,2.98 ,2.30 ,94.67 
02_19_29_p,0.048139034,0.07 ,2.36 ,2.23 ,95.34 
02_19_35_p,0.043074871,0.03 ,2.02 ,2.05 ,95.89 
02_19_41_p,0.035571249,0.05 ,1.61 ,1.76 ,96.59 
02_19_47_p,0.034850856,0.03 ,1.72 ,1.57 ,96.67 
02_19_53_p,0.030503889,0.03 ,1.57 ,1.33 ,97.06 
02_19_59_p,0.026393922,0.09 ,1.27 ,1.27 ,97.38 
02_20_05_p,0.022818611,0.03 ,1.17 ,0.95 ,97.85 
02_20_10_p,0.025229507,0.07 ,1.06 ,1.24 ,97.63 
02_20_17_p,0.026137295,0.02 ,1.07 ,1.39 ,97.52 
02_20_22_p,0.026807072,0.06 ,1.01 ,1.46 ,97.47 
02_20_29_p,0.025621532,0.02 ,1.04 ,1.40 ,97.54 
02_20_35_p,0.02499983,0.02 ,0.98 ,1.37 ,97.63 
02_20_41_p,0.022588571,0.03 ,1.00 ,1.10 ,97.86 
02_20_47_p,0.023437003,0.01 ,0.82 ,1.38 ,97.79 
02_20_53_p,0.019820302,0.00 ,0.81 ,1.06 ,98.13 
02_20_59_p,0.017332647,0.01 ,0.68 ,0.93 ,98.37 
02_21_05_p,0.012493955,0.01 ,0.57 ,0.61 ,98.81 
02_21_11_p,0.012392957,0.01 ,0.50 ,0.66 ,98.83 
02_21_17_p,0.012084627,0.01 ,0.36 ,0.77 ,98.85 
02_21_23_p,0.010995558,0.02 ,0.36 ,0.67 ,98.94 
02_21_29_p,0.011373016,0.01 ,0.40 ,0.69 ,98.90 
02_21_35_p,0.011238719,0.02 ,0.27 ,0.77 ,98.93 
02_21_41_p,0.011219921,0.03 ,0.26 ,0.79 ,98.92 
02_21_47_p,0.010899282,0.02 ,0.27 ,0.75 ,98.95 
02_21_53_p,0.009457728,0.02 ,0.25 ,0.66 ,99.07 
02_21_59_p,0.008147505,0.02 ,0.23 ,0.55 ,99.20 
02_22_05_p,0.0068804,0.00 ,0.20 ,0.44 ,99.35 
02_22_11_p,0.007168875,0.01 ,0.26 ,0.42 ,99.31 
02_22_17_p,0.00651252,0.00 ,0.19 ,0.42 ,99.39 
02_22_23_p,0.006290516,0.00 ,0.17 ,0.44 ,99.39 
02_22_29_p,0.007280814,0.00 ,0.19 ,0.50 ,99.31 
02_22_35_p,0.005263701,0.00 ,0.17 ,0.32 ,99.51 
02_22_41_p,0.004160803,0.00 ,0.19 ,0.18 ,99.62 
02_22_47_p,0.003365944,0.00 ,0.11 ,0.19 ,99.69 
02_22_53_p,0.002431181,0.00 ,0.06 ,0.16 ,99.78 
02_22_59_p,0.001760345,0.00 ,0.03 ,0.13 ,99.84 
02_23_05_p,0.001654778,0.00 ,0.03 ,0.11 ,99.85 
02_23_10_p,0.002004516,0.01 ,0.07 ,0.11 ,99.81 
02_23_16_p,0.001555052,0.00 ,0.06 ,0.09 ,99.85 
02_23_22_p,0.001071761,0.00 ,0.03 ,0.07 ,99.90 
02_23_28_p,0.000675444,0.00 ,0.03 ,0.02 ,99.94 
02_23_34_p,0.000592164,0.00 ,0.03 ,0.02 ,99.94 
02_23_40_p,0.000452801,0.00 ,0.01 ,0.03 ,99.95 
02_23_46_p,0.000140033,0.00 ,0.00 ,0.01 ,99.99 
02_23_52_p,0.000614555,0.00 ,0.01 ,0.05 ,99.94 
03_00_00_p,0.001484022,0.00 ,0.07 ,0.10 ,99.83 
