time,value,a,b,c,d
02_00_00_p,0.00144878,0.00 ,0.03 ,0.09 ,99.87 
02_00_05_p,0.002275563,0.01 ,0.09 ,0.13 ,99.77 
02_00_11_p,0.002435831,0.00 ,0.01 ,0.20 ,99.78 
02_00_17_p,0.003490811,0.00 ,0.11 ,0.24 ,99.65 
02_00_23_p,0.00371244,0.00 ,0.14 ,0.20 ,99.66 
02_00_29_p,0.005745072,0.01 ,0.34 ,0.20 ,99.44 
02_00_35_p,0.003678915,0.01 ,0.14 ,0.19 ,99.66 
02_00_41_p,0.004415716,0.01 ,0.15 ,0.27 ,99.57 
02_00_47_p,0.004190054,0.02 ,0.23 ,0.17 ,99.58 
02_00_53_p,0.00380301,0.02 ,0.11 ,0.21 ,99.66 
02_00_59_p,0.004654801,0.03 ,0.19 ,0.20 ,99.57 
02_01_05_p,0.004642679,0.01 ,0.21 ,0.22 ,99.57 
02_01_11_p,0.004047109,0.01 ,0.15 ,0.22 ,99.62 
02_01_17_p,0.003429275,0.01 ,0.13 ,0.19 ,99.67 
02_01_23_p,0.003631778,0.00 ,0.19 ,0.16 ,99.65 
02_01_29_p,0.003261258,0.01 ,0.15 ,0.16 ,99.68 
02_01_35_p,0.003867627,0.00 ,0.31 ,0.07 ,99.62 
02_01_41_p,0.002509601,0.00 ,0.16 ,0.08 ,99.76 
02_01_47_p,0.002518153,0.00 ,0.10 ,0.14 ,99.76 
02_01_53_p,0.001144024,0.00 ,0.07 ,0.05 ,99.89 
02_01_59_p,0.001465748,0.00 ,0.10 ,0.05 ,99.85 
02_02_05_p,0.001545193,0.00 ,0.06 ,0.09 ,99.85 
02_02_11_p,0.00152383,0.00 ,0.03 ,0.13 ,99.84 
02_02_17_p,0.000912293,0.00 ,0.02 ,0.07 ,99.91 
02_02_23_p,0.001118529,0.00 ,0.05 ,0.07 ,99.89 
02_02_29_p,0.001487018,0.00 ,0.07 ,0.08 ,99.85 
02_02_35_p,0.001037466,0.00 ,0.01 ,0.09 ,99.90 
02_02_41_p,0.000737437,0.00 ,0.01 ,0.06 ,99.93 
02_02_47_p,0.00157222,0.00 ,0.01 ,0.16 ,99.83 
02_02_53_p,0.001196358,0.00 ,0.01 ,0.11 ,99.87 
02_02_59_p,0.001085947,0.00 ,0.01 ,0.09 ,99.90 
02_03_05_p,0.001020053,0.00 ,0.01 ,0.10 ,99.89 
02_03_11_p,0.000737437,0.00 ,0.00 ,0.07 ,99.93 
02_03_17_p,0.000951349,0.00 ,0.00 ,0.09 ,99.91 
02_03_23_p,0.000752931,0.00 ,0.00 ,0.07 ,99.93 
02_03_29_p,0.000566908,0.00 ,0.01 ,0.05 ,99.94 
02_03_35_p,0.000363054,0.00 ,0.01 ,0.02 ,99.97 
02_03_41_p,0.000471743,0.00 ,0.00 ,0.06 ,99.94 
02_03_47_p,0.000368299,0.00 ,0.00 ,0.03 ,99.97 
02_03_53_p,0.000520103,0.00 ,0.00 ,0.05 ,99.95 
02_03_59_p,0.001039275,0.00 ,0.00 ,0.10 ,99.90 
02_04_05_p,0.000811331,0.00 ,0.01 ,0.07 ,99.92 
02_04_11_p,0.001199367,0.01 ,0.02 ,0.08 ,99.89 
02_04_17_p,0.001196178,0.01 ,0.02 ,0.08 ,99.89 
02_04_23_p,0.000726327,0.00 ,0.03 ,0.03 ,99.93 
02_04_29_p,0.000941308,0.01 ,0.01 ,0.08 ,99.90 
02_04_35_p,0.000537672,0.00 ,0.01 ,0.05 ,99.94 
02_04_41_p,0.000535061,0.00 ,0.00 ,0.05 ,99.95 
02_04_47_p,0.000476911,0.00 ,0.01 ,0.03 ,99.95 
02_04_53_p,0.00043648,0.01 ,0.02 ,0.01 ,99.95 
02_04_59_p,0.000611366,0.01 ,0.01 ,0.06 ,99.92 
02_05_05_p,0.000396874,0.00 ,0.01 ,0.03 ,99.95 
02_05_11_p,0.000558473,0.00 ,0.03 ,0.02 ,99.94 
02_05_17_p,0.000833877,0.00 ,0.02 ,0.06 ,99.92 
02_05_23_p,0.000456763,0.00 ,0.02 ,0.02 ,99.95 
02_05_29_p,0.000542667,0.00 ,0.02 ,0.03 ,99.94 
02_05_35_p,0.000390324,0.00 ,0.02 ,0.02 ,99.95 
02_05_41_p,0.000278777,0.00 ,0.01 ,0.02 ,99.97 
02_05_47_p,0.000198608,0.00 ,0.02 ,0.00 ,99.98 
02_05_53_p,0.000198608,0.00 ,0.02 ,0.00 ,99.98 
02_05_59_p,0.001891097,0.00 ,0.05 ,0.14 ,99.82 
02_06_05_p,0.002614015,0.01 ,0.06 ,0.19 ,99.74 
02_06_11_p,0.00514363,0.00 ,0.16 ,0.32 ,99.52 
02_06_17_p,0.006524923,0.01 ,0.25 ,0.35 ,99.39 
02_06_23_p,0.014478055,0.01 ,0.51 ,0.85 ,98.62 
02_06_29_p,0.024349499,0.00 ,1.08 ,1.25 ,97.67 
02_06_35_p,0.037577769,0.06 ,1.64 ,1.90 ,96.40 
02_06_41_p,0.052129566,0.03 ,2.39 ,2.51 ,95.07 
02_06_47_p,0.066448539,0.05 ,3.32 ,2.96 ,93.67 
02_06_53_p,0.086659421,0.11 ,4.43 ,3.84 ,91.61 
02_06_59_p,0.098612759,0.11 ,5.01 ,4.55 ,90.33 
02_07_05_p,0.120392575,0.21 ,6.90 ,4.53 ,88.36 
02_07_11_p,0.133866066,0.10 ,7.75 ,5.17 ,86.97 
02_07_17_p,0.149102512,0.23 ,8.51 ,5.79 ,85.46 
02_07_23_p,0.163267398,0.23 ,9.80 ,5.92 ,84.05 
02_07_29_p,0.175490328,0.22 ,10.37 ,6.42 ,82.99 
02_07_35_p,0.187074983,0.29 ,10.88 ,7.30 ,81.53 
02_07_41_p,0.190094728,0.28 ,11.03 ,7.40 ,81.29 
02_07_47_p,0.191446428,0.38 ,11.67 ,6.80 ,81.15 
02_07_53_p,0.197691515,0.37 ,11.95 ,7.22 ,80.46 
02_07_59_p,0.196996647,0.35 ,12.45 ,6.55 ,80.65 
02_08_05_p,0.196901151,0.37 ,12.38 ,6.61 ,80.64 
02_08_11_p,0.199364764,0.40 ,12.14 ,7.08 ,80.39 
02_08_17_p,0.198456925,0.33 ,12.64 ,6.38 ,80.66 
02_08_23_p,0.199399203,0.30 ,13.26 ,5.92 ,80.52 
02_08_29_p,0.192547004,0.27 ,11.99 ,6.39 ,81.35 
02_08_35_p,0.183170998,0.39 ,11.41 ,6.04 ,82.15 
02_08_41_p,0.174859966,0.30 ,11.03 ,5.75 ,82.92 
02_08_47_p,0.165089772,0.19 ,10.29 ,5.58 ,83.94 
02_08_53_p,0.150591069,0.20 ,9.22 ,5.08 ,85.50 
02_08_59_p,0.137726569,0.20 ,8.28 ,4.70 ,86.82 
02_09_05_p,0.124303101,0.24 ,6.80 ,4.92 ,88.04 
02_09_11_p,0.119016188,0.13 ,7.11 ,4.14 ,88.62 
02_09_17_p,0.117302951,0.18 ,6.77 ,4.23 ,88.82 
02_09_23_p,0.119106929,0.14 ,6.34 ,4.85 ,88.68 
02_09_29_p,0.112083319,0.15 ,6.09 ,4.50 ,89.26 
02_09_35_p,0.108575417,0.08 ,6.00 ,4.38 ,89.54 
02_09_41_p,0.105373989,0.13 ,5.86 ,4.16 ,89.86 
02_09_47_p,0.101591963,0.09 ,5.40 ,4.34 ,90.17 
02_09_53_p,0.101629867,0.13 ,5.66 ,3.98 ,90.23 
02_09_59_p,0.095967965,0.06 ,5.45 ,3.80 ,90.69 
02_10_05_p,0.091206097,0.07 ,5.10 ,3.65 ,91.19 
02_10_11_p,0.08845152,0.07 ,4.88 ,3.62 ,91.43 
02_10_17_p,0.07844464,0.06 ,4.23 ,3.35 ,92.36 
02_10_23_p,0.079425206,0.06 ,4.29 ,3.30 ,92.35 
02_10_29_p,0.075111473,0.07 ,3.67 ,3.53 ,92.73 
02_10_35_p,0.069624398,0.11 ,3.62 ,3.00 ,93.27 
02_10_41_p,0.065175834,0.08 ,3.10 ,3.10 ,93.72 
02_10_47_p,0.060587493,0.06 ,2.55 ,3.22 ,94.17 
02_10_53_p,0.05526342,0.06 ,2.10 ,3.16 ,94.69 
02_10_59_p,0.048661542,0.07 ,1.67 ,2.90 ,95.35 
02_11_05_p,0.03924749,0.08 ,1.40 ,2.27 ,96.25 
02_11_11_p,0.035615261,0.11 ,1.37 ,1.89 ,96.63 
02_11_17_p,0.033611043,0.10 ,1.18 ,1.94 ,96.78 
02_11_23_p,0.030379011,0.05 ,0.84 ,1.95 ,97.17 
02_11_29_p,0.028132426,0.06 ,0.92 ,1.67 ,97.35 
02_11_35_p,0.025565477,0.07 ,0.88 ,1.53 ,97.53 
02_11_41_p,0.020954578,0.06 ,0.74 ,1.20 ,98.01 
02_11_47_p,0.021919034,0.05 ,0.75 ,1.33 ,97.87 
02_11_53_p,0.021455078,0.05 ,0.85 ,1.20 ,97.90 
02_11_59_p,0.020669299,0.02 ,0.67 ,1.32 ,97.98 
02_12_05_p,0.018926961,0.02 ,0.68 ,1.16 ,98.13 
02_12_11_p,0.018528934,0.02 ,0.73 ,1.03 ,98.22 
02_12_17_p,0.016740301,0.03 ,0.63 ,0.93 ,98.41 
02_12_23_p,0.014962898,0.05 ,0.50 ,0.85 ,98.60 
02_12_29_p,0.01548305,0.02 ,0.58 ,0.82 ,98.58 
02_12_35_p,0.016452737,0.03 ,0.52 ,0.99 ,98.45 
02_12_41_p,0.013690772,0.01 ,0.36 ,0.90 ,98.73 
02_12_47_p,0.01642968,0.02 ,0.38 ,1.15 ,98.45 
02_12_53_p,0.015422547,0.01 ,0.57 ,0.87 ,98.55 
02_12_59_p,0.01462785,0.00 ,0.56 ,0.84 ,98.60 
