time,value,a,b,c,d
05_04_04_p,0.17,0.0,0.01,0.06,99.93
05_04_10_p,0.33,0.0,0.03,0.09,99.87
05_04_16_p,0.51,0.0,0.03,0.18,99.78
05_04_22_p,0.32,0.0,0.02,0.11,99.86
05_04_28_p,0.3,0.0,0.02,0.1,99.87
05_04_34_p,0.33,0.0,0.03,0.09,99.87
05_04_40_p,0.37,0.01,0.03,0.06,99.9
05_04_46_p,0.35,0.01,0.03,0.05,99.91
05_04_52_p,0.41,0.0,0.05,0.08,99.87
05_04_58_p,0.11,0.0,0.01,0.03,99.95
05_05_04_p,0.09,0.0,0.01,0.02,99.97
05_05_10_p,0.22,0.0,0.02,0.06,99.92
05_05_16_p,0.19,0.0,0.01,0.07,99.92
05_05_22_p,0.2,0.0,0.02,0.05,99.93
05_05_28_p,0.16,0.0,0.02,0.03,99.94
05_05_34_p,0.11,0.0,0.01,0.03,99.95
05_05_40_p,0.21,0.0,0.03,0.03,99.93
05_05_46_p,0.34,0.0,0.06,0.02,99.92
05_05_52_p,0.27,0.0,0.05,0.01,99.94
05_05_58_p,0.09,0.0,0.01,0.02,99.97
05_06_04_p,0.39,0.0,0.05,0.07,99.89
05_06_10_p,0.28,0.0,0.02,0.09,99.89
05_06_16_p,0.38,0.01,0.02,0.09,99.87
05_06_22_p,1.14,0.0,0.1,0.32,99.58
05_06_28_p,2.16,0.0,0.2,0.58,99.21
05_06_34_p,5.16,0.05,0.5,1.08,98.37
05_06_40_p,7.51,0.02,0.95,1.28,97.76
05_06_46_p,11.57,0.03,1.57,1.71,96.68
05_06_52_p,15.31,0.05,2.03,2.33,95.59
05_06_58_p,21.33,0.07,3.07,2.64,94.22
05_07_04_p,27.05,0.1,4.05,2.9,92.95
05_07_10_p,33.01,0.1,4.77,4.08,91.05
05_07_16_p,40.59,0.18,5.87,4.72,89.22
05_07_22_p,43.63,0.17,6.43,4.89,88.51
05_07_28_p,49.96,0.16,7.4,5.68,86.76
05_07_34_p,50.86,0.12,7.46,6.18,86.24
05_07_40_p,55.46,0.2,8.24,6.13,85.42
05_07_46_p,59.71,0.17,8.85,6.88,84.1
05_07_52_p,61.05,0.12,9.09,7.2,83.6
05_07_58_p,62.8,0.2,9.18,7.45,83.18
05_08_04_p,68.15,0.24,10.17,7.45,82.14
05_08_10_p,67.53,0.29,10.19,6.84,82.67
05_08_16_p,66.54,0.24,10.02,7.02,82.71
05_08_22_p,64.64,0.25,9.92,6.27,83.56
05_08_28_p,62.77,0.27,9.59,6.06,84.08
05_08_34_p,60.79,0.28,9.29,5.77,84.67
05_08_40_p,57.68,0.16,9.0,5.54,85.3
05_08_46_p,56.52,0.25,8.24,6.41,85.09
05_08_52_p,51.45,0.12,7.65,6.0,86.24
05_08_58_p,47.62,0.13,7.14,5.31,87.42
05_09_04_p,41.37,0.21,5.65,5.51,88.63
05_09_10_p,38.65,0.1,5.51,5.05,89.35
05_09_16_p,39.21,0.12,5.53,5.18,89.17
05_09_22_p,39.52,0.11,5.68,5.01,89.19
05_09_28_p,39.75,0.17,5.41,5.5,88.92
05_09_34_p,37.86,0.14,5.2,5.23,89.43
05_09_40_p,36.38,0.16,5.02,4.84,89.98
05_09_46_p,35.22,0.13,4.98,4.51,90.38
05_09_52_p,34.29,0.17,4.93,3.97,90.93
05_09_58_p,33.48,0.17,4.82,3.84,91.17
05_10_04_p,33.2,0.16,4.86,3.65,91.33
05_10_10_p,33.25,0.25,4.77,3.45,91.53
05_10_16_p,31.74,0.1,4.58,3.92,91.39
05_10_22_p,30.97,0.14,4.21,4.26,91.39
05_10_28_p,28.78,0.09,4.02,3.89,92.0
05_10_34_p,28.74,0.14,4.12,3.37,92.37
05_10_40_p,27.24,0.13,3.72,3.67,92.49
05_10_46_p,27.57,0.08,3.65,4.26,92.01
05_10_52_p,26.86,0.09,3.68,3.78,92.44
05_10_58_p,24.47,0.03,3.33,3.76,92.87
05_11_04_p,23.52,0.07,3.1,3.66,93.17
05_11_10_p,21.46,0.1,2.88,3.03,93.98
05_11_16_p,20.27,0.14,2.59,2.96,94.32
05_11_22_p,19.27,0.07,2.59,2.81,94.54
05_11_28_p,19.29,0.08,2.51,2.97,94.44
05_11_34_p,18.0,0.07,2.44,2.55,94.94
05_11_40_p,18.9,0.08,2.5,2.8,94.62
05_11_46_p,17.87,0.06,2.41,2.61,94.92
05_11_52_p,17.53,0.07,2.29,2.69,94.95
05_11_58_p,16.8,0.05,2.3,2.4,95.25
05_12_04_p,14.6,0.09,1.8,2.35,95.76
05_12_10_p,13.1,0.02,1.74,2.1,96.14
05_12_16_p,11.88,0.02,1.32,2.54,96.11
05_12_22_p,11.26,0.0,1.4,2.13,96.47
05_12_28_p,10.74,0.05,1.2,2.12,96.64
05_12_34_p,9.69,0.02,1.07,2.07,96.83
05_12_40_p,10.96,0.07,1.26,1.98,96.69
05_12_46_p,10.95,0.05,1.25,2.1,96.61
05_12_52_p,10.38,0.06,1.08,2.19,96.67
05_12_58_p,11.52,0.06,1.22,2.41,96.32
05_13_04_p,11.37,0.06,1.05,2.76,96.14
05_13_10_p,12.92,0.06,1.52,2.36,96.07
05_13_16_p,15.74,0.02,2.06,2.62,95.3
05_13_22_p,17.65,0.03,2.33,2.85,94.79
05_13_28_p,20.22,0.07,2.62,3.21,94.09
05_13_34_p,22.12,0.08,2.9,3.41,93.62
05_13_40_p,23.47,0.07,3.17,3.46,93.3
05_13_46_p,25.02,0.11,3.32,3.66,92.91
05_13_52_p,24.82,0.09,3.3,3.71,92.9
05_13_58_p,25.02,0.07,3.32,3.86,92.75
05_14_04_p,24.92,0.03,3.34,3.96,92.67
05_14_10_p,24.55,0.08,3.05,4.25,92.63
05_14_16_p,24.74,0.05,3.14,4.27,92.55
05_14_22_p,24.88,0.09,3.18,4.04,92.69
05_14_28_p,25.03,0.08,3.25,3.99,92.68
05_14_34_p,25.37,0.03,3.47,3.86,92.64
05_14_40_p,25.08,0.06,3.36,3.84,92.75
05_14_46_p,24.77,0.09,3.31,3.66,92.94
05_14_52_p,25.35,0.1,3.43,3.6,92.87
05_14_58_p,24.46,0.07,3.32,3.58,93.03
05_15_04_p,22.93,0.07,3.13,3.29,93.51
05_15_10_p,22.71,0.07,3.15,3.13,93.65
05_15_16_p,22.35,0.08,3.13,2.95,93.84
05_15_22_p,23.26,0.08,3.24,3.13,93.55
05_15_28_p,25.31,0.08,3.53,3.43,92.96
05_15_34_p,25.7,0.06,3.72,3.25,92.97
05_15_40_p,26.46,0.08,3.54,3.98,92.41
05_15_46_p,25.67,0.06,3.31,4.26,92.37
05_15_52_p,27.5,0.13,3.66,3.95,92.26
05_15_58_p,28.56,0.09,3.82,4.28,91.81
05_16_04_p,28.95,0.08,4.09,3.85,91.97
05_16_10_p,29.51,0.09,3.89,4.58,91.43
05_16_16_p,32.1,0.11,4.42,4.45,91.02
05_16_22_p,32.69,0.07,4.65,4.37,90.91
05_16_28_p,34.56,0.08,5.06,4.23,90.63
05_16_34_p,36.0,0.09,5.48,3.85,90.58
05_16_40_p,36.26,0.14,5.0,4.93,89.94
05_16_46_p,38.9,0.19,5.44,4.9,89.47
05_16_52_p,41.41,0.11,5.85,5.53,88.5
05_16_58_p,43.41,0.14,6.13,5.68,88.05
05_17_04_p,45.14,0.11,6.4,6.02,87.46
05_17_10_p,50.62,0.16,7.32,6.21,86.3
05_17_16_p,56.45,0.15,8.37,6.55,84.94
05_17_22_p,62.58,0.17,9.64,6.34,83.85
05_17_28_p,69.4,0.27,10.84,6.25,82.65
05_17_34_p,69.57,0.2,10.81,6.76,82.23
05_17_40_p,71.65,0.22,11.23,6.65,81.9
05_17_46_p,74.91,0.12,11.93,7.03,80.93
05_17_52_p,78.31,0.14,12.51,7.18,80.17
05_17_58_p,77.01,0.19,12.17,7.13,80.51
05_18_04_p,76.39,0.28,11.85,7.17,80.71
05_18_10_p,71.43,0.15,11.33,6.64,81.88
05_18_16_p,69.45,0.23,10.87,6.4,82.5
05_18_22_p,68.11,0.21,10.61,6.48,82.71
05_18_28_p,64.0,0.15,9.88,6.55,83.41
05_18_34_p,59.87,0.12,9.29,6.11,84.49
05_18_40_p,57.58,0.18,8.7,6.14,84.98
05_18_46_p,53.73,0.2,7.85,6.24,85.71
05_18_52_p,46.11,0.08,6.97,5.23,87.71
05_18_58_p,44.79,0.13,6.71,4.97,88.19
05_19_04_p,36.32,0.09,5.28,4.51,90.13
05_19_10_p,30.77,0.07,4.39,4.06,91.48
05_19_16_p,29.66,0.06,4.68,2.83,92.43
05_19_22_p,27.8,0.06,4.14,3.25,92.56
05_19_28_p,25.08,0.09,3.74,2.74,93.43
05_19_34_p,22.71,0.06,3.53,2.23,94.19
05_19_40_p,19.89,0.08,2.91,2.27,94.74
05_19_46_p,16.09,0.05,2.29,2.07,95.59
05_19_52_p,14.28,0.05,1.94,2.04,95.97
05_19_58_p,10.35,0.01,1.31,1.85,96.83
05_20_04_p,8.76,0.03,1.0,1.73,97.23
05_20_10_p,8.88,0.01,1.0,1.89,97.1
05_20_16_p,9.68,0.03,1.12,1.89,96.96
05_20_22_p,10.63,0.05,1.25,1.94,96.76
05_20_28_p,11.8,0.05,1.44,2.05,96.47
05_20_34_p,12.7,0.06,1.54,2.2,96.21
05_20_40_p,10.78,0.03,1.28,2.04,96.65
05_20_46_p,9.62,0.02,1.16,1.81,97.0
05_20_52_p,10.24,0.05,1.26,1.72,96.97
05_20_58_p,7.9,0.01,0.88,1.7,97.41
05_21_04_p,7.06,0.01,0.9,1.23,97.86
05_21_10_p,6.93,0.01,0.87,1.24,97.88
05_21_16_p,6.95,0.02,0.85,1.25,97.87
05_21_22_p,7.27,0.01,0.93,1.26,97.79
05_21_28_p,7.86,0.03,1.04,1.18,97.74
05_21_34_p,7.53,0.03,0.93,1.29,97.74
05_21_40_p,6.82,0.0,0.9,1.16,97.94
05_21_46_p,6.15,0.01,0.77,1.1,98.11
05_21_52_p,6.2,0.03,0.8,0.95,98.22
05_21_58_p,6.58,0.06,0.74,1.14,98.06
05_22_04_p,5.39,0.03,0.59,1.07,98.3
05_22_10_p,4.8,0.01,0.58,0.9,98.51
05_22_16_p,4.56,0.02,0.52,0.88,98.58
05_22_22_p,4.5,0.01,0.56,0.8,98.63
05_22_28_p,3.92,0.02,0.46,0.71,98.82
05_22_34_p,3.65,0.0,0.43,0.75,98.82
05_22_40_p,3.46,0.02,0.38,0.68,98.92
05_22_46_p,3.15,0.01,0.47,0.35,99.17
05_22_52_p,2.59,0.0,0.39,0.32,99.29
05_22_58_p,2.08,0.01,0.2,0.49,99.29
05_23_04_p,1.23,0.0,0.11,0.34,99.54
05_23_10_p,1.31,0.01,0.15,0.23,99.61
05_23_16_p,0.79,0.0,0.09,0.17,99.74
05_23_22_p,0.31,0.0,0.03,0.08,99.89
05_23_28_p,0.31,0.0,0.03,0.08,99.89
05_23_34_p,0.41,0.0,0.07,0.03,99.9
05_23_40_p,0.63,0.0,0.09,0.09,99.82
05_23_46_p,0.37,0.0,0.05,0.06,99.9
05_23_52_p,0.38,0.0,0.02,0.14,99.84
06_00_00_p,0.64,0.0,0.1,0.07,99.83
