time,value,a,b,c,d
05_00_00_p,0.44,0.0,0.08,0.02,99.9
05_00_04_p,0.42,0.0,0.06,0.06,99.89
05_00_10_p,0.89,0.0,0.15,0.07,99.78
05_00_16_p,1.22,0.01,0.16,0.16,99.67
05_00_22_p,1.25,0.0,0.17,0.2,99.62
05_00_28_p,1.58,0.01,0.2,0.24,99.54
05_00_34_p,1.56,0.01,0.18,0.28,99.52
05_00_40_p,2.04,0.01,0.28,0.27,99.43
05_00_46_p,1.63,0.02,0.19,0.24,99.54
05_00_52_p,1.05,0.01,0.13,0.15,99.72
05_00_58_p,1.24,0.01,0.2,0.07,99.72
05_01_04_p,1.1,0.0,0.2,0.05,99.75
05_01_10_p,1.16,0.01,0.18,0.08,99.73
05_01_16_p,1.23,0.0,0.15,0.24,99.61
05_01_22_p,1.03,0.01,0.13,0.14,99.73
05_01_28_p,1.66,0.03,0.18,0.23,99.56
05_01_34_p,1.34,0.02,0.14,0.22,99.62
05_01_40_p,1.18,0.01,0.16,0.14,99.69
05_01_46_p,0.76,0.01,0.06,0.18,99.75
05_01_52_p,0.42,0.01,0.02,0.11,99.85
05_01_58_p,0.41,0.01,0.05,0.03,99.91
05_02_04_p,0.7,0.0,0.1,0.1,99.8
05_02_10_p,0.29,0.01,0.01,0.07,99.91
05_02_16_p,0.25,0.0,0.03,0.05,99.92
05_02_22_p,0.47,0.01,0.03,0.11,99.84
05_02_28_p,0.26,0.0,0.02,0.08,99.9
05_02_34_p,0.42,0.01,0.0,0.16,99.83
05_02_40_p,0.39,0.0,0.05,0.07,99.89
05_02_46_p,0.06,0.0,0.0,0.03,99.97
05_02_52_p,0.14,0.0,0.0,0.07,99.93
05_02_58_p,0.42,0.0,0.02,0.16,99.82
05_03_04_p,0.28,0.01,0.0,0.09,99.9
05_03_10_p,0.1,0.0,0.0,0.05,99.95
05_03_16_p,0.2,0.0,0.0,0.1,99.9
05_03_22_p,0.19,0.0,0.01,0.07,99.92
05_03_28_p,0.12,0.0,0.0,0.06,99.94
05_03_34_p,0.1,0.0,0.0,0.05,99.95
05_03_40_p,0.18,0.0,0.0,0.09,99.91
05_03_46_p,0.11,0.0,0.01,0.03,99.95
05_03_52_p,0.27,0.0,0.03,0.06,99.91
05_03_58_p,0.46,0.02,0.0,0.13,99.85
